,Argentina
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,1.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,6.0
3/8/20,4.0
3/9/20,0.0
3/10/20,5.0
3/11/20,2.0
3/12/20,0.0
3/13/20,12.0
3/14/20,3.0
3/15/20,11.0
3/16/20,11.0
3/17/20,12.0
3/18/20,11.0
3/19/20,18.0
3/20/20,31.0
3/21/20,30.0
3/22/20,108.0
3/23/20,35.0
3/24/20,86.0
3/25/20,0.0
3/26/20,115.0
3/27/20,87.0
3/28/20,101.0
3/29/20,55.0
3/30/20,75.0
3/31/20,234.0
4/1/20,0.0
4/2/20,79.0
4/3/20,132.0
4/4/20,186.0
4/5/20,0.0
4/6/20,103.0
4/7/20,74.0
4/8/20,87.0
4/9/20,80.0
4/10/20,180.0
4/11/20,0.0
4/12/20,167.0
4/13/20,66.0
4/14/20,69.0
4/15/20,166.0
4/16/20,128.0
4/17/20,98.0
4/18/20,89.0
4/19/20,81.0
4/20/20,102.0
4/21/20,90.0
4/22/20,113.0
4/23/20,291.0
4/24/20,172.0
4/25/20,173.0
4/26/20,112.0
4/27/20,111.0
4/28/20,124.0
4/29/20,158.0
4/30/20,143.0
5/1/20,104.0
5/2/20,149.0
5/3/20,102.0
5/4/20,104.0
5/5/20,133.0
5/6/20,188.0
5/7/20,163.0
5/8/20,240.0
5/9/20,165.0
5/10/20,258.0
5/11/20,244.0
5/12/20,285.0
5/13/20,316.0
5/14/20,255.0
5/15/20,345.0
5/16/20,326.0
5/17/20,263.0
5/18/20,303.0
5/19/20,438.0
5/20/20,474.0
5/21/20,648.0
5/22/20,718.0
5/23/20,704.0
5/24/20,723.0
5/25/20,552.0
5/26/20,600.0
5/27/20,705.0
5/28/20,769.0
5/29/20,717.0
5/30/20,795.0
5/31/20,637.0
6/1/20,564.0
6/2/20,904.0
6/3/20,949.0
6/4/20,929.0
6/5/20,840.0
6/6/20,983.0
6/7/20,774.0
6/8/20,826.0
6/9/20,1141.0
6/10/20,1226.0
6/11/20,1386.0
6/12/20,1391.0
6/13/20,1531.0
6/14/20,1282.0
6/15/20,1208.0
6/16/20,1374.0
6/17/20,1393.0
6/18/20,1958.0
6/19/20,2060.0
6/20/20,1634.0
6/21/20,1581.0
6/22/20,2146.0
6/23/20,2272.0
6/24/20,2648.0
6/25/20,2606.0
6/26/20,2886.0
6/27/20,2401.0
6/28/20,2189.0
6/29/20,2335.0
6/30/20,2262.0
7/1/20,2667.0
7/2/20,2744.0
7/3/20,2845.0
7/4/20,2590.0
7/5/20,2439.0
7/6/20,2632.0
7/7/20,2979.0
7/8/20,3604.0
7/9/20,3663.0
7/10/20,3367.0
7/11/20,3449.0
7/12/20,2657.0
7/13/20,3099.0
7/14/20,3645.0
7/15/20,4236.0
7/16/20,3637.0
7/17/20,4518.0
7/18/20,3223.0
7/19/20,4231.0
7/20/20,4019.0
7/21/20,5344.0
7/22/20,5782.0
7/23/20,6127.0
7/24/20,5493.0
7/25/20,4814.0
7/26/20,4192.0
7/27/20,4890.0
7/28/20,5939.0
7/29/20,5641.0
7/30/20,6377.0
7/31/20,5929.0
8/1/20,5241.0
8/2/20,5376.0
8/3/20,4824.0
8/4/20,6792.0
8/5/20,7147.0
8/6/20,7513.0
8/7/20,7482.0
8/8/20,6134.0
8/9/20,4688.0
8/10/20,7369.0
8/11/20,7043.0
8/12/20,7663.0
8/13/20,7498.0
8/14/20,6365.0
8/15/20,6663.0
8/16/20,5469.0
8/17/20,4557.0
8/18/20,6840.0
8/19/20,6693.0
8/20/20,8225.0
8/21/20,8159.0
8/22/20,7759.0
8/23/20,5352.0
8/24/20,8713.0
8/25/20,8771.0
8/26/20,10550.0
8/27/20,10104.0
8/28/20,11717.0
8/29/20,9230.0
8/30/20,7187.0
8/31/20,9309.0
9/1/20,10504.0
9/2/20,10933.0
9/3/20,12026.0
9/4/20,10684.0
9/5/20,9924.0
9/6/20,6986.0
9/7/20,9215.0
9/8/20,12027.0
9/9/20,12259.0
9/10/20,11905.0
9/11/20,11507.0
9/12/20,10776.0
9/13/20,9056.0
9/14/20,9909.0
9/15/20,11892.0
9/16/20,11674.0
9/17/20,12701.0
9/18/20,11945.0
9/19/20,9276.0
9/20/20,8431.0
9/21/20,8782.0
9/22/20,12027.0
9/23/20,12625.0
9/24/20,13467.0
9/25/20,12969.0
9/26/20,11249.0
9/27/20,8841.0
9/28/20,11807.0
9/29/20,13477.0
9/30/20,14392.0
10/1/20,14001.0
10/2/20,14687.0
10/3/20,11129.0
10/4/20,7668.0
10/5/20,11242.0
10/6/20,14740.0
10/7/20,16447.0
10/8/20,15454.0
10/9/20,15099.0
10/10/20,12414.0
10/11/20,10324.0
10/12/20,9524.0
10/13/20,13305.0
10/14/20,14932.0
10/15/20,17096.0
10/16/20,16546.0
10/17/20,13510.0
10/18/20,10561.0
10/19/20,12982.0
10/20/20,16337.0
10/21/20,18326.0
10/22/20,16325.0
10/23/20,15718.0
10/24/20,11968.0
10/25/20,9253.0
10/26/20,11712.0
10/27/20,14308.0
10/28/20,13924.0
10/29/20,13267.0
10/30/20,13379.0
10/31/20,9745.0
11/1/20,6609.0
11/2/20,9598.0
11/3/20,12145.0
11/4/20,10652.0
11/5/20,11100.0
11/6/20,11786.0
11/7/20,8037.0
11/8/20,5331.0
11/9/20,8317.0
11/10/20,11977.0
11/11/20,10880.0
11/12/20,11163.0
11/13/20,11859.0
11/14/20,8468.0
11/15/20,5645.0
11/16/20,7893.0
11/17/20,10621.0
11/18/20,10332.0
11/19/20,10097.0
11/20/20,9608.0
11/21/20,7140.0
11/22/20,4184.0
11/23/20,4265.0
11/24/20,7164.0
11/25/20,8593.0
11/26/20,9043.0
11/27/20,7846.0
11/28/20,6098.0
11/29/20,5432.0
11/30/20,5726.0
12/1/20,8037.0
12/2/20,7533.0
12/3/20,7629.0
12/4/20,6899.0
12/5/20,5201.0
12/6/20,3278.0
12/7/20,3199.0
12/8/20,3610.0
12/9/20,5303.0
12/10/20,6994.0
12/11/20,7112.0
12/12/20,5274.0
12/13/20,3558.0
12/14/20,5062.0
12/15/20,6981.0
12/16/20,6843.0
12/17/20,7326.0
12/18/20,7002.0
12/19/20,5795.0
12/20/20,4116.0
12/21/20,5853.0
12/22/20,8141.0
12/23/20,8586.0
12/24/20,0.0
12/25/20,10689.0
12/26/20,3713.0
12/27/20,5030.0
12/28/20,7216.0
12/29/20,11650.0
12/30/20,11765.0
12/31/20,11586.0
1/1/21,4080.0
1/2/21,5240.0
1/3/21,5884.0
1/4/21,8222.0
1/5/21,13790.0
1/6/21,13441.0
1/7/21,13835.0
1/8/21,13346.0
1/9/21,11057.0
1/10/21,7808.0
1/11/21,8704.0
1/12/21,13783.0
1/13/21,12725.0
1/14/21,13286.0
1/15/21,12332.0
1/16/21,8932.0
1/17/21,7264.0
1/18/21,8185.0
1/19/21,12141.0
1/20/21,12112.0
1/21/21,11396.0
1/22/21,10753.0
1/23/21,8362.0
1/24/21,5031.0
1/25/21,7578.0
1/26/21,10409.0
1/27/21,10843.0
1/28/21,9471.0
1/29/21,9838.0
1/30/21,6902.0
1/31/21,4975.0
2/1/21,6614.0
2/2/21,9695.0
2/3/21,9196.0
2/4/21,8891.0
2/5/21,8374.0
2/6/21,6680.0
2/7/21,3658.0
2/8/21,5154.0
2/9/21,7794.0
2/10/21,7739.0
2/11/21,7311.0
2/12/21,7151.0
2/13/21,6057.0
2/14/21,4245.0
2/15/21,3259.0
2/16/21,4003.0
2/17/21,6064.0
2/18/21,7671.0
2/19/21,7886.0
2/20/21,5944.0
2/21/21,3709.0
2/22/21,5417.0
2/23/21,7477.0
2/24/21,8183.0
2/25/21,8234.0
2/26/21,5083.0
2/27/21,5469.0
2/28/21,3168.0
3/1/21,4658.0
3/2/21,6653.0
3/3/21,7855.0
3/4/21,7432.0
3/5/21,7891.0
3/6/21,4860.0
3/7/21,2922.0
3/8/21,5058.0
3/9/21,7307.0
3/10/21,7693.0
3/11/21,8204.0
3/12/21,7849.0
3/13/21,6278.0
3/14/21,3697.0
3/15/21,6164.0
3/16/21,8235.0
3/17/21,8304.0
3/18/21,8328.0
3/19/21,8160.0
3/20/21,6826.0
3/21/21,4032.0
3/22/21,6401.0
3/23/21,9405.0
3/24/21,8300.0
3/25/21,8238.0
3/26/21,12936.0
3/27/21,10338.0
3/28/21,7208.0
3/29/21,14014.0
3/30/21,10154.0
3/31/21,16056.0
4/1/21,14430.0
4/2/21,9902.0
4/3/21,10384.0
4/4/21,9955.0
4/5/21,13667.0
4/6/21,20870.0
4/7/21,22039.0
4/8/21,23683.0
4/9/21,24130.0
4/10/21,19419.0
4/11/21,15262.0
4/12/21,19437.0
4/13/21,27001.0
4/14/21,25157.0
4/15/21,24999.0
4/16/21,29472.0
4/17/21,19119.0
4/18/21,16267.0
4/19/21,20461.0
4/20/21,29145.0
4/21/21,25932.0
4/22/21,27216.0
4/23/21,27884.0
4/24/21,21220.0
4/25/21,15012.0
4/26/21,18793.0
4/27/21,25495.0
4/28/21,23718.0
4/29/21,26053.0
4/30/21,22420.0
5/1/21,16502.0
5/2/21,11394.0
5/3/21,15920.0
5/4/21,26238.0
5/5/21,24079.0
5/6/21,24086.0
5/7/21,22552.0
5/8/21,18024.0
5/9/21,11582.0
5/10/21,17381.0
5/11/21,25976.0
5/12/21,24475.0
5/13/21,26531.0
5/14/21,27363.0
5/15/21,21469.0
5/16/21,16350.0
5/17/21,28680.0
5/18/21,35543.0
5/19/21,39652.0
5/20/21,35884.0
5/21/21,35468.0
5/22/21,32171.0
5/23/21,24801.0
5/24/21,22651.0
5/25/21,24601.0
5/26/21,35399.0
5/27/21,41080.0
5/28/21,39207.0
5/29/21,29841.0
5/30/21,21346.0
