,France
1/22/20,0.0
1/23/20,0.0
1/24/20,2.0
1/25/20,1.0
1/26/20,0.0
1/27/20,0.0
1/28/20,1.0
1/29/20,1.0
1/30/20,0.0
1/31/20,0.0
2/1/20,1.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,5.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,1.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,2.0
2/26/20,4.0
2/27/20,20.0
2/28/20,19.0
2/29/20,43.0
3/1/20,30.0
3/2/20,61.0
3/3/20,21.0
3/4/20,73.0
3/5/20,138.0
3/6/20,190.0
3/7/20,325.0
3/8/20,177.0
3/9/20,286.0
3/10/20,372.0
3/11/20,508.0
3/12/20,0.0
3/13/20,1380.0
3/14/20,808.0
3/15/20,30.0
3/16/20,2134.0
3/17/20,1019.0
3/18/20,1391.0
3/19/20,1828.0
3/20/20,1741.0
3/21/20,1670.0
3/22/20,2251.0
3/23/20,3323.0
3/24/20,2198.0
3/25/20,2913.0
3/26/20,3889.0
3/27/20,3753.0
3/28/20,4553.0
3/29/20,2599.0
3/30/20,4268.0
3/31/20,7550.0
4/1/20,4783.0
4/2/20,2042.0
4/3/20,5184.0
4/4/20,-17105.0
4/5/20,816.0
4/6/20,2635.0
4/7/20,-3534.0
4/8/20,3842.0
4/9/20,3761.0
4/10/20,1535.0
4/11/20,1434.0
4/12/20,50740.0
4/13/20,3124.0
4/14/20,17436.0
4/15/20,3204.0
4/16/20,12559.0
4/17/20,1861.0
4/18/20,3787.0
4/19/20,1069.0
4/20/20,2445.0
4/21/20,2624.0
4/22/20,1782.0
4/23/20,-1722.0
4/24/20,2772.0
4/25/20,1642.0
4/26/20,612.0
4/27/20,3685.0
4/28/20,3058.0
4/29/20,-1457.0
4/30/20,1133.0
5/1/20,520.0
5/2/20,791.0
5/3/20,250.0
5/4/20,518.0
5/5/20,1062.0
5/6/20,4129.0
5/7/20,622.0
5/8/20,525.0
5/9/20,389.0
5/10/20,206.0
5/11/20,313.0
5/12/20,679.0
5/13/20,460.0
5/14/20,563.0
5/15/20,484.0
5/16/20,303.0
5/17/20,110.0
5/18/20,400.0
5/19/20,493.0
5/20/20,356.0
5/21/20,253.0
5/22/20,692.0
5/23/20,525.0
5/24/20,-559.0
5/25/20,274.0
5/26/20,196.0
5/27/20,138.0
5/28/20,3282.0
5/29/20,542.0
5/30/20,1766.0
5/31/20,209.0
6/1/20,169.0
6/2/20,-721.0
6/3/20,-3250.0
6/4/20,4271.0
6/5/20,522.0
6/6/20,522.0
6/7/20,291.0
6/8/20,161.0
6/9/20,484.0
6/10/20,477.0
6/11/20,297.0
6/12/20,639.0
6/13/20,364.0
6/14/20,274.0
6/15/20,52.0
6/16/20,546.0
6/17/20,341.0
6/18/20,320.0
6/19/20,545.0
6/20/20,414.0
6/21/20,64.0
6/22/20,94.0
6/23/20,563.0
6/24/20,0.0
6/25/20,0.0
6/26/20,1011.0
6/27/20,254.0
6/28/20,-410.0
6/29/20,279.0
6/30/20,164.0
7/1/20,684.0
7/2/20,353.0
7/3/20,403.0
7/4/20,0.0
7/5/20,0.0
7/6/20,856.0
7/7/20,320.0
7/8/20,529.0
7/9/20,328.0
7/10/20,542.0
7/11/20,0.0
7/12/20,0.0
7/13/20,1186.0
7/14/20,0.0
7/15/20,628.0
7/16/20,436.0
7/17/20,697.0
7/18/20,0.0
7/19/20,0.0
7/20/20,1792.0
7/21/20,465.0
7/22/20,868.0
7/23/20,1009.0
7/24/20,903.0
7/25/20,0.0
7/26/20,0.0
7/27/20,2268.0
7/28/20,516.0
7/29/20,1339.0
7/30/20,1251.0
7/31/20,1208.0
8/1/20,0.0
8/2/20,0.0
8/3/20,3216.0
8/4/20,902.0
8/5/20,1621.0
8/6/20,1524.0
8/7/20,2204.0
8/8/20,0.0
8/9/20,0.0
8/10/20,4601.0
8/11/20,1337.0
8/12/20,2426.0
8/13/20,2574.0
8/14/20,2700.0
8/15/20,3131.0
8/16/20,2964.0
8/17/20,426.0
8/18/20,2060.0
8/19/20,3718.0
8/20/20,4675.0
8/21/20,4503.0
8/22/20,3412.0
8/23/20,4460.0
8/24/20,1863.0
8/25/20,3191.0
8/26/20,0.0
8/27/20,11055.0
8/28/20,7231.0
8/29/20,5336.0
8/30/20,5289.0
8/31/20,2795.0
9/1/20,4898.0
9/2/20,6800.0
9/3/20,6888.0
9/4/20,8643.0
9/5/20,8435.0
9/6/20,6908.0
9/7/20,4096.0
9/8/20,6456.0
9/9/20,7552.0
9/10/20,9561.0
9/11/20,9268.0
9/12/20,10416.0
9/13/20,6263.0
9/14/20,6076.0
9/15/20,7587.0
9/16/20,9728.0
9/17/20,9947.0
9/18/20,13090.0
9/19/20,13367.0
9/20/20,10536.0
9/21/20,5298.0
9/22/20,9767.0
9/23/20,11985.0
9/24/20,15818.0
9/25/20,15769.0
9/26/20,14187.0
9/27/20,10616.0
9/28/20,4070.0
9/29/20,7822.0
9/30/20,12573.0
10/1/20,13014.0
10/2/20,12137.0
10/3/20,16410.0
10/4/20,12504.0
10/5/20,5084.0
10/6/20,10198.0
10/7/20,18733.0
10/8/20,17315.0
10/9/20,20314.0
10/10/20,26677.0
10/11/20,15937.0
10/12/20,8505.0
10/13/20,12783.0
10/14/20,22579.0
10/15/20,29726.0
10/16/20,25055.0
10/17/20,32100.0
10/18/20,29837.0
10/19/20,13239.0
10/20/20,20169.0
10/21/20,26632.0
10/22/20,40766.0
10/23/20,41985.0
10/24/20,45240.0
10/25/20,6554.0
10/26/20,72017.0
10/27/20,33151.0
10/28/20,36425.0
10/29/20,46591.0
10/30/20,49194.0
10/31/20,35051.0
11/1/20,46179.0
11/2/20,104314.0
11/3/20,71955.0
11/4/20,-47301.0
11/5/20,57309.0
11/6/20,60457.0
11/7/20,86598.0
11/8/20,38562.0
11/9/20,20155.0
11/10/20,21596.0
11/11/20,35865.0
11/12/20,32264.0
11/13/20,23670.0
11/14/20,31921.0
11/15/20,27192.0
11/16/20,9301.0
11/17/20,45210.0
11/18/20,28359.0
11/19/20,20487.0
11/20/20,22862.0
11/21/20,17641.0
11/22/20,13130.0
11/23/20,4452.0
11/24/20,8853.0
11/25/20,16245.0
11/26/20,12879.0
11/27/20,12437.0
11/28/20,12456.0
11/29/20,9763.0
11/30/20,3891.0
12/1/20,7951.0
12/2/20,13980.0
12/3/20,12570.0
12/4/20,11186.0
12/5/20,12809.0
12/6/20,10949.0
12/7/20,3411.0
12/8/20,13511.0
12/9/20,14540.0
12/10/20,13294.0
12/11/20,13329.0
12/12/20,13817.0
12/13/20,11488.0
12/14/20,3063.0
12/15/20,11128.0
12/16/20,17564.0
12/17/20,18080.0
12/18/20,15674.0
12/19/20,17102.0
12/20/20,12619.0
12/21/20,5797.0
12/22/20,11634.0
12/23/20,14804.0
12/24/20,21541.0
12/25/20,20124.0
12/26/20,3030.0
12/27/20,8233.0
12/28/20,2954.0
12/29/20,11192.0
12/30/20,26357.0
12/31/20,19778.0
1/1/21,19143.0
1/2/21,3359.0
1/3/21,12489.0
1/4/21,4022.0
1/5/21,20280.0
1/6/21,25020.0
1/7/21,21513.0
1/8/21,19621.0
1/9/21,19771.0
1/10/21,15801.0
1/11/21,3582.0
1/12/21,19267.0
1/13/21,23703.0
1/14/21,21228.0
1/15/21,20712.0
1/16/21,21119.0
1/17/21,16443.0
1/18/21,3736.0
1/19/21,23339.0
1/20/21,26497.0
1/21/21,22368.0
1/22/21,22995.0
1/23/21,23410.0
1/24/21,18038.0
1/25/21,4240.0
1/26/21,21860.0
1/27/21,26916.0
1/28/21,23260.0
1/29/21,22783.0
1/30/21,23857.0
1/31/21,19080.0
2/1/21,4347.0
2/2/21,22659.0
2/3/21,25896.0
2/4/21,-458.0
2/5/21,45287.0
2/6/21,19188.0
2/7/21,19715.0
2/8/21,4317.0
2/9/21,18253.0
2/10/21,25087.0
2/11/21,20307.0
2/12/21,20044.0
2/13/21,20809.0
2/14/21,15713.0
2/15/21,4376.0
2/16/21,19374.0
2/17/21,24507.0
2/18/21,21402.0
2/19/21,24105.0
2/20/21,21425.0
2/21/21,21619.0
2/22/21,4646.0
2/23/21,19299.0
2/24/21,31230.0
2/25/21,24549.0
2/26/21,24984.0
2/27/21,23440.0
2/28/21,19952.0
3/1/21,3964.0
3/2/21,22857.0
3/3/21,26079.0
3/4/21,25279.0
3/5/21,22967.0
3/6/21,22610.0
3/7/21,21825.0
3/8/21,5327.0
3/9/21,23029.0
3/10/21,29627.0
3/11/21,27166.0
3/12/21,25038.0
3/13/21,29650.0
3/14/21,25925.0
3/15/21,6241.0
3/16/21,30002.0
3/17/21,37638.0
3/18/21,34954.0
3/19/21,35026.0
3/20/21,35305.0
3/21/21,29984.0
3/22/21,15792.0
3/23/21,14678.0
3/24/21,64225.0
3/25/21,45641.0
3/26/21,41629.0
3/27/21,42619.0
3/28/21,36182.0
3/29/21,9094.0
3/30/21,30702.0
3/31/21,57911.0
4/1/21,50449.0
4/2/21,46807.0
4/3/21,-1160.0
4/4/21,80629.0
4/5/21,10961.0
4/6/21,8045.0
4/7/21,0.0
4/8/21,96842.0
4/9/21,0.0
4/10/21,0.0
4/11/21,117900.0
4/12/21,8536.0
4/13/21,38133.0
4/14/21,43348.0
4/15/21,37894.0
4/16/21,36333.0
4/17/21,35779.0
4/18/21,27734.0
4/19/21,6696.0
4/20/21,44003.0
4/21/21,33823.0
4/22/21,33400.0
4/23/21,32056.0
4/24/21,32485.0
4/25/21,24332.0
4/26/21,4376.0
4/27/21,29232.0
4/28/21,31202.0
4/29/21,26443.0
4/30/21,24134.0
5/1/21,25491.0
5/2/21,8237.0
5/3/21,3760.0
5/4/21,24217.0
5/5/21,24745.0
5/6/21,21476.0
5/7/21,18976.0
5/8/21,19459.0
5/9/21,9128.0
5/10/21,3292.0
5/11/21,19513.0
5/12/21,20030.0
5/13/21,19461.0
5/14/21,6469.0
5/15/21,15653.0
5/16/21,13948.0
5/17/21,3350.0
5/18/21,16001.0
5/19/21,18128.0
5/20/21,-349116.0
5/21/21,12533.0
5/22/21,12383.0
5/23/21,8976.0
5/24/21,2229.0
5/25/21,2834.0
5/26/21,11240.0
5/27/21,13933.0
5/28/21,10831.0
5/29/21,11372.0
5/30/21,7994.0
