,Germany
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,1.0
1/28/20,3.0
1/29/20,0.0
1/30/20,0.0
1/31/20,1.0
2/1/20,3.0
2/2/20,2.0
2/3/20,2.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,1.0
2/8/20,0.0
2/9/20,1.0
2/10/20,0.0
2/11/20,2.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,5.0
2/27/20,5.0
2/28/20,27.0
2/29/20,13.0
3/1/20,51.0
3/2/20,33.0
3/3/20,38.0
3/4/20,52.0
3/5/20,109.0
3/6/20,185.0
3/7/20,150.0
3/8/20,163.0
3/9/20,265.0
3/10/20,184.0
3/11/20,271.0
3/12/20,802.0
3/13/20,693.0
3/14/20,733.0
3/15/20,1043.0
3/16/20,1174.0
3/17/20,1144.0
3/18/20,1042.0
3/19/20,2801.0
3/20/20,2958.0
3/21/20,2705.0
3/22/20,1948.0
3/23/20,4062.0
3/24/20,4764.0
3/25/20,4118.0
3/26/20,4954.0
3/27/20,5780.0
3/28/20,6294.0
3/29/20,3965.0
3/30/20,4751.0
3/31/20,4615.0
4/1/20,5453.0
4/2/20,6156.0
4/3/20,6174.0
4/4/20,6082.0
4/5/20,5936.0
4/6/20,3677.0
4/7/20,3834.0
4/8/20,4003.0
4/9/20,4974.0
4/10/20,5323.0
4/11/20,4133.0
4/12/20,2821.0
4/13/20,2537.0
4/14/20,2082.0
4/15/20,2486.0
4/16/20,2866.0
4/17/20,3380.0
4/18/20,3609.0
4/19/20,2458.0
4/20/20,1775.0
4/21/20,1785.0
4/22/20,2237.0
4/23/20,2352.0
4/24/20,2337.0
4/25/20,2055.0
4/26/20,1737.0
4/27/20,1018.0
4/28/20,1144.0
4/29/20,1304.0
4/30/20,1478.0
5/1/20,1639.0
5/2/20,945.0
5/3/20,793.0
5/4/20,679.0
5/5/20,685.0
5/6/20,947.0
5/7/20,1284.0
5/8/20,1209.0
5/9/20,1251.0
5/10/20,667.0
5/11/20,357.0
5/12/20,933.0
5/13/20,798.0
5/14/20,933.0
5/15/20,913.0
5/16/20,620.0
5/17/20,583.0
5/18/20,342.0
5/19/20,513.0
5/20/20,797.0
5/21/20,745.0
5/22/20,460.0
5/23/20,638.0
5/24/20,431.0
5/25/20,289.0
5/26/20,432.0
5/27/20,362.0
5/28/20,353.0
5/29/20,741.0
5/30/20,738.0
5/31/20,286.0
6/1/20,333.0
6/2/20,213.0
6/3/20,342.0
6/4/20,394.0
6/5/20,507.0
6/6/20,407.0
6/7/20,301.0
6/8/20,214.0
6/9/20,350.0
6/10/20,318.0
6/11/20,555.0
6/12/20,258.0
6/13/20,348.0
6/14/20,247.0
6/15/20,192.0
6/16/20,378.0
6/17/20,345.0
6/18/20,580.0
6/19/20,770.0
6/20/20,601.0
6/21/20,687.0
6/22/20,537.0
6/23/20,503.0
6/24/20,587.0
6/25/20,630.0
6/26/20,477.0
6/27/20,687.0
6/28/20,256.0
6/29/20,262.0
6/30/20,498.0
7/1/20,466.0
7/2/20,503.0
7/3/20,446.0
7/4/20,422.0
7/5/20,239.0
7/6/20,219.0
7/7/20,390.0
7/8/20,397.0
7/9/20,442.0
7/10/20,395.0
7/11/20,378.0
7/12/20,248.0
7/13/20,159.0
7/14/20,412.0
7/15/20,351.0
7/16/20,534.0
7/17/20,583.0
7/18/20,529.0
7/19/20,202.0
7/20/20,249.0
7/21/20,522.0
7/22/20,454.0
7/23/20,569.0
7/24/20,815.0
7/25/20,781.0
7/26/20,305.0
7/27/20,340.0
7/28/20,633.0
7/29/20,684.0
7/30/20,902.0
7/31/20,870.0
8/1/20,955.0
8/2/20,240.0
8/3/20,509.0
8/4/20,879.0
8/5/20,741.0
8/6/20,1045.0
8/7/20,1147.0
8/8/20,1122.0
8/9/20,555.0
8/10/20,436.0
8/11/20,966.0
8/12/20,1226.0
8/13/20,1445.0
8/14/20,1449.0
8/15/20,1415.0
8/16/20,625.0
8/17/20,561.0
8/18/20,1390.0
8/19/20,1510.0
8/20/20,1707.0
8/21/20,1427.0
8/22/20,2034.0
8/23/20,782.0
8/24/20,711.0
8/25/20,1278.0
8/26/20,1576.0
8/27/20,1507.0
8/28/20,1571.0
8/29/20,1479.0
8/30/20,785.0
8/31/20,610.0
9/1/20,1218.0
9/2/20,1256.0
9/3/20,1311.0
9/4/20,1453.0
9/5/20,1378.0
9/6/20,988.0
9/7/20,814.0
9/8/20,1499.0
9/9/20,1176.0
9/10/20,1892.0
9/11/20,1484.0
9/12/20,1630.0
9/13/20,948.0
9/14/20,927.0
9/15/20,1407.0
9/16/20,1901.0
9/17/20,2194.0
9/18/20,1916.0
9/19/20,2297.0
9/20/20,1345.0
9/21/20,922.0
9/22/20,1821.0
9/23/20,1769.0
9/24/20,2143.0
9/25/20,2153.0
9/26/20,2507.0
9/27/20,1410.0
9/28/20,1192.0
9/29/20,2089.0
9/30/20,1798.0
10/1/20,2503.0
10/2/20,2673.0
10/3/20,2563.0
10/4/20,2279.0
10/5/20,1382.0
10/6/20,2639.0
10/7/20,2828.0
10/8/20,4058.0
10/9/20,4516.0
10/10/20,4721.0
10/11/20,3483.0
10/12/20,2467.0
10/13/20,4122.0
10/14/20,5132.0
10/15/20,6638.0
10/16/20,7334.0
10/17/20,7830.0
10/18/20,5587.0
10/19/20,4325.0
10/20/20,6868.0
10/21/20,7595.0
10/22/20,11287.0
10/23/20,11242.0
10/24/20,14714.0
10/25/20,11176.0
10/26/20,8685.0
10/27/20,11409.0
10/28/20,14964.0
10/29/20,16774.0
10/30/20,18681.0
10/31/20,19059.0
11/1/20,14177.0
11/2/20,12097.0
11/3/20,15352.0
11/4/20,17214.0
11/5/20,19990.0
11/6/20,21506.0
11/7/20,23399.0
11/8/20,16017.0
11/9/20,13363.0
11/10/20,15332.0
11/11/20,18487.0
11/12/20,21866.0
11/13/20,23542.0
11/14/20,22461.0
11/15/20,16947.0
11/16/20,10824.0
11/17/20,14419.0
11/18/20,17561.0
11/19/20,22609.0
11/20/20,23648.0
11/21/20,22964.0
11/22/20,15741.0
11/23/20,10864.0
11/24/20,13554.0
11/25/20,18633.0
11/26/20,22268.0
11/27/20,22806.0
11/28/20,21695.0
11/29/20,14611.0
11/30/20,11169.0
12/1/20,13604.0
12/2/20,17270.0
12/3/20,22046.0
12/4/20,23449.0
12/5/20,23318.0
12/6/20,17767.0
12/7/20,12332.0
12/8/20,14054.0
12/9/20,20815.0
12/10/20,23679.0
12/11/20,29875.0
12/12/20,28438.0
12/13/20,20200.0
12/14/20,16362.0
12/15/20,14432.0
12/16/20,27728.0
12/17/20,26923.0
12/18/20,33777.0
12/19/20,31300.0
12/20/20,22771.0
12/21/20,16643.0
12/22/20,19528.0
12/23/20,24740.0
12/24/20,32195.0
12/25/20,25533.0
12/26/20,14455.0
12/27/20,13755.0
12/28/20,10976.0
12/29/20,12892.0
12/30/20,22459.0
12/31/20,32552.0
1/1/21,22924.0
1/2/21,12690.0
1/3/21,10315.0
1/4/21,9847.0
1/5/21,11897.0
1/6/21,21237.0
1/7/21,26391.0
1/8/21,31849.0
1/9/21,24694.0
1/10/21,16946.0
1/11/21,12497.0
1/12/21,12802.0
1/13/21,19600.0
1/14/21,25164.0
1/15/21,22368.0
1/16/21,18678.0
1/17/21,13882.0
1/18/21,7141.0
1/19/21,11369.0
1/20/21,15974.0
1/21/21,20398.0
1/22/21,17862.0
1/23/21,16417.0
1/24/21,12257.0
1/25/21,6729.0
1/26/21,6412.0
1/27/21,13198.0
1/28/21,17553.0
1/29/21,14022.0
1/30/21,12321.0
1/31/21,11192.0
2/1/21,5608.0
2/2/21,6114.0
2/3/21,9705.0
2/4/21,14211.0
2/5/21,12908.0
2/6/21,10485.0
2/7/21,8616.0
2/8/21,4535.0
2/9/21,3379.0
2/10/21,8072.0
2/11/21,10237.0
2/12/21,9860.0
2/13/21,8354.0
2/14/21,6114.0
2/15/21,4426.0
2/16/21,3856.0
2/17/21,7556.0
2/18/21,10207.0
2/19/21,9113.0
2/20/21,9164.0
2/21/21,7676.0
2/22/21,4369.0
2/23/21,3883.0
2/24/21,8007.0
2/25/21,11869.0
2/26/21,9997.0
2/27/21,9762.0
2/28/21,7890.0
3/1/21,4732.0
3/2/21,3943.0
3/3/21,9019.0
3/4/21,11912.0
3/5/21,10580.0
3/6/21,9557.0
3/7/21,8103.0
3/8/21,5011.0
3/9/21,4252.0
3/10/21,9146.0
3/11/21,14356.0
3/12/21,12834.0
3/13/21,12674.0
3/14/21,10790.0
3/15/21,6604.0
3/16/21,5480.0
3/17/21,13435.0
3/18/21,17504.0
3/19/21,17482.0
3/20/21,16033.0
3/21/21,13733.0
3/22/21,7709.0
3/23/21,7485.0
3/24/21,15813.0
3/25/21,22657.0
3/26/21,21573.0
3/27/21,20472.0
3/28/21,17176.0
3/29/21,9872.0
3/30/21,9549.0
3/31/21,17051.0
4/1/21,24300.0
4/2/21,21888.0
4/3/21,18129.0
4/4/21,12196.0
4/5/21,8497.0
4/6/21,6885.0
4/7/21,9677.0
4/8/21,20407.0
4/9/21,25464.0
4/10/21,24097.0
4/11/21,17855.0
4/12/21,13245.0
4/13/21,10810.0
4/14/21,21693.0
4/15/21,29426.0
4/16/21,25831.0
4/17/21,23804.0
4/18/21,19185.0
4/19/21,11437.0
4/20/21,9609.0
4/21/21,24884.0
4/22/21,29518.0
4/23/21,27543.0
4/24/21,23392.0
4/25/21,18773.0
4/26/21,11907.0
4/27/21,10976.0
4/28/21,22231.0
4/29/21,24736.0
4/30/21,24329.0
5/1/21,18935.0
5/2/21,16290.0
5/3/21,9160.0
5/4/21,7534.0
5/5/21,18034.0
5/6/21,21953.0
5/7/21,18485.0
5/8/21,15685.0
5/9/21,12656.0
5/10/21,6922.0
5/11/21,6125.0
5/12/21,14909.0
5/13/21,17419.0
5/14/21,11336.0
5/15/21,7894.0
5/16/21,8500.0
5/17/21,5412.0
5/18/21,4209.0
5/19/21,11040.0
5/20/21,12298.0
5/21/21,8769.0
5/22/21,7082.0
5/23/21,6714.0
5/24/21,2682.0
5/25/21,1911.0
5/26/21,2626.0
5/27/21,6313.0
5/28/21,7380.0
5/29/21,5426.0
5/30/21,3852.0
5/31/21,1978.0
6/1/21,1785.0
