,Iran
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,2.0
2/20/20,3.0
2/21/20,13.0
2/22/20,10.0
2/23/20,15.0
2/24/20,18.0
2/25/20,34.0
2/26/20,44.0
2/27/20,106.0
2/28/20,143.0
2/29/20,205.0
3/1/20,385.0
3/2/20,523.0
3/3/20,835.0
3/4/20,586.0
3/5/20,591.0
3/6/20,1234.0
3/7/20,1076.0
3/8/20,743.0
3/9/20,595.0
3/10/20,881.0
3/11/20,958.0
3/12/20,1075.0
3/13/20,1289.0
3/14/20,1365.0
3/15/20,1209.0
3/16/20,1053.0
3/17/20,1178.0
3/18/20,1192.0
3/19/20,1046.0
3/20/20,1237.0
3/21/20,966.0
3/22/20,1028.0
3/23/20,1411.0
3/24/20,1762.0
3/25/20,2206.0
3/26/20,2389.0
3/27/20,2926.0
3/28/20,3076.0
3/29/20,2901.0
3/30/20,3186.0
3/31/20,3110.0
4/1/20,2988.0
4/2/20,2875.0
4/3/20,2715.0
4/4/20,2560.0
4/5/20,2483.0
4/6/20,2274.0
4/7/20,2089.0
4/8/20,1997.0
4/9/20,1634.0
4/10/20,1972.0
4/11/20,1837.0
4/12/20,1657.0
4/13/20,1617.0
4/14/20,1574.0
4/15/20,1512.0
4/16/20,1606.0
4/17/20,1499.0
4/18/20,1374.0
4/19/20,1343.0
4/20/20,1294.0
4/21/20,1297.0
4/22/20,1194.0
4/23/20,1030.0
4/24/20,1168.0
4/25/20,1134.0
4/26/20,1153.0
4/27/20,991.0
4/28/20,1112.0
4/29/20,1073.0
4/30/20,983.0
5/1/20,1006.0
5/2/20,802.0
5/3/20,976.0
5/4/20,1223.0
5/5/20,1323.0
5/6/20,1680.0
5/7/20,1485.0
5/8/20,1556.0
5/9/20,1529.0
5/10/20,1383.0
5/11/20,1683.0
5/12/20,1481.0
5/13/20,1958.0
5/14/20,1808.0
5/15/20,2102.0
5/16/20,1757.0
5/17/20,1806.0
5/18/20,2294.0
5/19/20,2111.0
5/20/20,2346.0
5/21/20,2392.0
5/22/20,2311.0
5/23/20,1869.0
5/24/20,2180.0
5/25/20,2023.0
5/26/20,1787.0
5/27/20,2080.0
5/28/20,2258.0
5/29/20,2819.0
5/30/20,2282.0
5/31/20,2516.0
6/1/20,2979.0
6/2/20,3117.0
6/3/20,3134.0
6/4/20,3574.0
6/5/20,2886.0
6/6/20,2269.0
6/7/20,2364.0
6/8/20,2043.0
6/9/20,2095.0
6/10/20,2011.0
6/11/20,2218.0
6/12/20,2369.0
6/13/20,2430.0
6/14/20,2472.0
6/15/20,2449.0
6/16/20,2563.0
6/17/20,2612.0
6/18/20,2596.0
6/19/20,2615.0
6/20/20,2322.0
6/21/20,2368.0
6/22/20,2573.0
6/23/20,2445.0
6/24/20,2531.0
6/25/20,2595.0
6/26/20,2628.0
6/27/20,2456.0
6/28/20,2489.0
6/29/20,2536.0
6/30/20,2457.0
7/1/20,2549.0
7/2/20,2652.0
7/3/20,2566.0
7/4/20,2449.0
7/5/20,2560.0
7/6/20,2613.0
7/7/20,2637.0
7/8/20,2691.0
7/9/20,2079.0
7/10/20,2262.0
7/11/20,2397.0
7/12/20,2186.0
7/13/20,2349.0
7/14/20,2521.0
7/15/20,2388.0
7/16/20,2500.0
7/17/20,2379.0
7/18/20,2166.0
7/19/20,2182.0
7/20/20,2414.0
7/21/20,2625.0
7/22/20,2586.0
7/23/20,2621.0
7/24/20,2489.0
7/25/20,2316.0
7/26/20,2333.0
7/27/20,2434.0
7/28/20,2667.0
7/29/20,2636.0
7/30/20,2621.0
7/31/20,2674.0
8/1/20,2548.0
8/2/20,2685.0
8/3/20,2598.0
8/4/20,2751.0
8/5/20,2697.0
8/6/20,2634.0
8/7/20,2450.0
8/8/20,2125.0
8/9/20,2020.0
8/10/20,2132.0
8/11/20,2345.0
8/12/20,2510.0
8/13/20,2625.0
8/14/20,2501.0
8/15/20,2245.0
8/16/20,2133.0
8/17/20,2247.0
8/18/20,2385.0
8/19/20,2444.0
8/20/20,2279.0
8/21/20,2206.0
8/22/20,2028.0
8/23/20,2113.0
8/24/20,2245.0
8/25/20,2213.0
8/26/20,2243.0
8/27/20,2190.0
8/28/20,2115.0
8/29/20,1905.0
8/30/20,1754.0
8/31/20,1642.0
9/1/20,1682.0
9/2/20,1858.0
9/3/20,1994.0
9/4/20,2026.0
9/5/20,1894.0
9/6/20,1992.0
9/7/20,2152.0
9/8/20,2302.0
9/9/20,2313.0
9/10/20,2063.0
9/11/20,2313.0
9/12/20,2139.0
9/13/20,2089.0
9/14/20,2619.0
9/15/20,2705.0
9/16/20,2981.0
9/17/20,2815.0
9/18/20,3049.0
9/19/20,2845.0
9/20/20,3097.0
9/21/20,3341.0
9/22/20,3712.0
9/23/20,3605.0
9/24/20,3521.0
9/25/20,3563.0
9/26/20,3204.0
9/27/20,3362.0
9/28/20,3512.0
9/29/20,3677.0
9/30/20,3582.0
10/1/20,3825.0
10/2/20,3552.0
10/3/20,3523.0
10/4/20,3653.0
10/5/20,3902.0
10/6/20,4151.0
10/7/20,4019.0
10/8/20,4392.0
10/9/20,4142.0
10/10/20,3875.0
10/11/20,3822.0
10/12/20,4206.0
10/13/20,4108.0
10/14/20,4830.0
10/15/20,4616.0
10/16/20,4552.0
10/17/20,4103.0
10/18/20,3890.0
10/19/20,4251.0
10/20/20,5039.0
10/21/20,5616.0
10/22/20,5471.0
10/23/20,6134.0
10/24/20,5814.0
10/25/20,6191.0
10/26/20,5960.0
10/27/20,6968.0
10/28/20,6824.0
10/29/20,8293.0
10/30/20,8011.0
10/31/20,7820.0
11/1/20,7719.0
11/2/20,8289.0
11/3/20,8932.0
11/4/20,8452.0
11/5/20,8772.0
11/6/20,8864.0
11/7/20,9450.0
11/8/20,9236.0
11/9/20,10463.0
11/10/20,10339.0
11/11/20,11780.0
11/12/20,11517.0
11/13/20,11737.0
11/14/20,11203.0
11/15/20,12543.0
11/16/20,13053.0
11/17/20,13352.0
11/18/20,13421.0
11/19/20,13223.0
11/20/20,13260.0
11/21/20,12931.0
11/22/20,13053.0
11/23/20,12460.0
11/24/20,13721.0
11/25/20,13843.0
11/26/20,13961.0
11/27/20,14051.0
11/28/20,13402.0
11/29/20,12950.0
11/30/20,13321.0
12/1/20,13881.0
12/2/20,13621.0
12/3/20,13922.0
12/4/20,13341.0
12/5/20,12151.0
12/6/20,11561.0
12/7/20,10827.0
12/8/20,11023.0
12/9/20,10223.0
12/10/20,10403.0
12/11/20,9384.0
12/12/20,8411.0
12/13/20,7451.0
12/14/20,7501.0
12/15/20,7704.0
12/16/20,7603.0
12/17/20,7453.0
12/18/20,7121.0
12/19/20,6421.0
12/20/20,6312.0
12/21/20,6151.0
12/22/20,6208.0
12/23/20,6261.0
12/24/20,6178.0
12/25/20,6021.0
12/26/20,5760.0
12/27/20,5502.0
12/28/20,5908.0
12/29/20,6108.0
12/30/20,6272.0
12/31/20,6389.0
1/1/21,6287.0
1/2/21,6045.0
1/3/21,5960.0
1/4/21,6073.0
1/5/21,6113.0
1/6/21,6283.0
1/7/21,6360.0
1/8/21,6251.0
1/9/21,5924.0
1/10/21,5968.0
1/11/21,6208.0
1/12/21,6408.0
1/13/21,6317.0
1/14/21,6471.0
1/15/21,6485.0
1/16/21,6100.0
1/17/21,6016.0
1/18/21,5806.0
1/19/21,5917.0
1/20/21,6182.0
1/21/21,6204.0
1/22/21,6332.0
1/23/21,6180.0
1/24/21,5945.0
1/25/21,6309.0
1/26/21,6420.0
1/27/21,6608.0
1/28/21,6527.0
1/29/21,6573.0
1/30/21,6317.0
1/31/21,6268.0
2/1/21,6597.0
2/2/21,6820.0
2/3/21,6870.0
2/4/21,7040.0
2/5/21,7054.0
2/6/21,6990.0
2/7/21,7065.0
2/8/21,7321.0
2/9/21,7640.0
2/10/21,7585.0
2/11/21,7474.0
2/12/21,7298.0
2/13/21,7120.0
2/14/21,7390.0
2/15/21,7760.0
2/16/21,8011.0
2/17/21,8042.0
2/18/21,8066.0
2/19/21,8017.0
2/20/21,7922.0
2/21/21,7931.0
2/22/21,8263.0
2/23/21,8330.0
2/24/21,8270.0
2/25/21,8206.0
2/26/21,8103.0
2/27/21,7975.0
2/28/21,8010.0
3/1/21,8510.0
3/2/21,8495.0
3/3/21,8525.0
3/4/21,8404.0
3/5/21,8367.0
3/6/21,8212.0
3/7/21,8010.0
3/8/21,8313.0
3/9/21,8554.0
3/10/21,8603.0
3/11/21,8308.0
3/12/21,8088.0
3/13/21,7802.0
3/14/21,7593.0
3/15/21,7980.0
3/16/21,8380.0
3/17/21,7802.0
3/18/21,7530.0
3/19/21,7620.0
3/20/21,7540.0
3/21/21,7260.0
3/22/21,7357.0
3/23/21,7290.0
3/24/21,7605.0
3/25/21,7506.0
3/26/21,7980.0
3/27/21,8120.0
3/28/21,8751.0
3/29/21,9310.0
3/30/21,10250.0
3/31/21,10330.0
4/1/21,11750.0
4/2/21,11660.0
4/3/21,11420.0
4/4/21,11680.0
4/5/21,13890.0
4/6/21,17430.0
4/7/21,20954.0
4/8/21,22586.0
4/9/21,22478.0
4/10/21,19666.0
4/11/21,21063.0
4/12/21,23311.0
4/13/21,24760.0
4/14/21,25582.0
4/15/21,25078.0
4/16/21,25261.0
4/17/21,21312.0
4/18/21,21644.0
4/19/21,24346.0
4/20/21,25492.0
4/21/21,24886.0
4/22/21,24092.0
4/23/21,22904.0
4/24/21,18230.0
4/25/21,19165.0
4/26/21,21026.0
4/27/21,20963.0
4/28/21,21713.0
4/29/21,19899.0
4/30/21,19272.0
5/1/21,17080.0
5/2/21,18698.0
5/3/21,20732.0
5/4/21,20150.0
5/5/21,15872.0
5/6/21,18409.0
5/7/21,17076.0
5/8/21,13576.0
5/9/21,14141.0
5/10/21,18408.0
5/11/21,18133.0
5/12/21,16409.0
5/13/21,14246.0
5/14/21,10145.0
5/15/21,7723.0
5/16/21,11291.0
5/17/21,14319.0
5/18/21,13930.0
5/19/21,12789.0
5/20/21,12428.0
5/21/21,11250.0
5/22/21,8005.0
5/23/21,8631.0
