,Israel
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,1.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,1.0
2/27/20,1.0
2/28/20,3.0
2/29/20,0.0
3/1/20,1.0
3/2/20,5.0
3/3/20,3.0
3/4/20,0.0
3/5/20,6.0
3/6/20,16.0
3/7/20,10.0
3/8/20,9.0
3/9/20,4.0
3/10/20,28.0
3/11/20,-28.0
3/12/20,21.0
3/13/20,31.0
3/14/20,26.0
3/15/20,39.0
3/16/20,74.0
3/17/20,44.0
3/18/20,76.0
3/19/20,15.0
3/20/20,242.0
3/21/20,215.0
3/22/20,237.0
3/23/20,169.0
3/24/20,102.0
3/25/20,1117.0
3/26/20,520.0
3/27/20,433.0
3/28/20,480.0
3/29/20,532.0
3/30/20,546.0
3/31/20,738.0
4/1/20,696.0
4/2/20,719.0
4/3/20,597.0
4/4/20,428.0
4/5/20,583.0
4/6/20,451.0
4/7/20,377.0
4/8/20,338.0
4/9/20,343.0
4/10/20,358.0
4/11/20,345.0
4/12/20,552.0
4/13/20,438.0
4/14/20,399.0
4/15/20,311.0
4/16/20,296.0
4/17/20,298.0
4/18/20,291.0
4/19/20,276.0
4/20/20,299.0
4/21/20,282.0
4/22/20,225.0
4/23/20,276.0
4/24/20,248.0
4/25/20,159.0
4/26/20,83.0
4/27/20,128.0
4/28/20,159.0
4/29/20,82.0
4/30/20,142.0
5/1/20,116.0
5/2/20,57.0
5/3/20,27.0
5/4/20,53.0
5/5/20,32.0
5/6/20,65.0
5/7/20,61.0
5/8/20,33.0
5/9/20,19.0
5/10/20,29.0
5/11/20,39.0
5/12/20,23.0
5/13/20,39.0
5/14/20,22.0
5/15/20,12.0
5/16/20,5.0
5/17/20,15.0
5/18/20,27.0
5/19/20,22.0
5/20/20,15.0
5/21/20,17.0
5/22/20,19.0
5/23/20,5.0
5/24/20,13.0
5/25/20,22.0
5/26/20,50.0
5/27/20,40.0
5/28/20,77.0
5/29/20,113.0
5/30/20,29.0
5/31/20,87.0
6/1/20,100.0
6/2/20,121.0
6/3/20,97.0
6/4/20,142.0
6/5/20,127.0
6/6/20,78.0
6/7/20,140.0
6/8/20,179.0
6/9/20,173.0
6/10/20,240.0
6/11/20,191.0
6/12/20,184.0
6/13/20,149.0
6/14/20,136.0
6/15/20,198.0
6/16/20,300.0
6/17/20,271.0
6/18/20,302.0
6/19/20,310.0
6/20/20,159.0
6/21/20,173.0
6/22/20,345.0
6/23/20,451.0
6/24/20,487.0
6/25/20,516.0
6/26/20,464.0
6/27/20,398.0
6/28/20,385.0
6/29/20,757.0
6/30/20,786.0
7/1/20,972.0
7/2/20,1146.0
7/3/20,939.0
7/4/20,821.0
7/5/20,831.0
7/6/20,1134.0
7/7/20,1390.0
7/8/20,1327.0
7/9/20,1525.0
7/10/20,1409.0
7/11/20,1168.0
7/12/20,1238.0
7/13/20,1720.0
7/14/20,1604.0
7/15/20,1877.0
7/16/20,1939.0
7/17/20,1605.0
7/18/20,1448.0
7/19/20,1016.0
7/20/20,1887.0
7/21/20,2006.0
7/22/20,2044.0
7/23/20,1990.0
7/24/20,1830.0
7/25/20,1112.0
7/26/20,1042.0
7/27/20,2048.0
7/28/20,2125.0
7/29/20,1954.0
7/30/20,1787.0
7/31/20,1362.0
8/1/20,625.0
8/2/20,708.0
8/3/20,1800.0
8/4/20,1729.0
8/5/20,1690.0
8/6/20,1677.0
8/7/20,1764.0
8/8/20,754.0
8/9/20,924.0
8/10/20,1704.0
8/11/20,1823.0
8/12/20,1622.0
8/13/20,1643.0
8/14/20,1388.0
8/15/20,757.0
8/16/20,1068.0
8/17/20,1650.0
8/18/20,1649.0
8/19/20,1640.0
8/20/20,1487.0
8/21/20,1493.0
8/22/20,711.0
8/23/20,965.0
8/24/20,1900.0
8/25/20,1956.0
8/26/20,1953.0
8/27/20,2071.0
8/28/20,1832.0
8/29/20,910.0
8/30/20,1101.0
8/31/20,2178.0
9/1/20,2252.0
9/2/20,3193.0
9/3/20,2661.0
9/4/20,2623.0
9/5/20,1505.0
9/6/20,2177.0
9/7/20,3388.0
9/8/20,3489.0
9/9/20,3996.0
9/10/20,4161.0
9/11/20,3975.0
9/12/20,2719.0
9/13/20,3175.0
9/14/20,4805.0
9/15/20,5539.0
9/16/20,4574.0
9/17/20,5385.0
9/18/20,5340.0
9/19/20,3809.0
9/20/20,2579.0
9/21/20,3866.0
9/22/20,7021.0
9/23/20,7125.0
9/24/20,8234.0
9/25/20,8390.0
9/26/20,5882.0
9/27/20,3414.0
9/28/20,1159.0
9/29/20,4991.0
9/30/20,9078.0
10/1/20,7731.0
10/2/20,7058.0
10/3/20,2593.0
10/4/20,2937.0
10/5/20,5721.0
10/6/20,4724.0
10/7/20,4165.0
10/8/20,3755.0
10/9/20,2963.0
10/10/20,916.0
10/11/20,1646.0
10/12/20,3169.0
10/13/20,2336.0
10/14/20,2117.0
10/15/20,1612.0
10/16/20,1500.0
10/17/20,411.0
10/18/20,922.0
10/19/20,1517.0
10/20/20,1193.0
10/21/20,1172.0
10/22/20,1032.0
10/23/20,849.0
10/24/20,246.0
10/25/20,607.0
10/26/20,884.0
10/27/20,887.0
10/28/20,723.0
10/29/20,644.0
10/30/20,680.0
10/31/20,228.0
11/1/20,658.0
11/2/20,788.0
11/3/20,846.0
11/4/20,769.0
11/5/20,570.0
11/6/20,691.0
11/7/20,212.0
11/8/20,534.0
11/9/20,719.0
11/10/20,675.0
11/11/20,763.0
11/12/20,836.0
11/13/20,761.0
11/14/20,292.0
11/15/20,625.0
11/16/20,873.0
11/17/20,829.0
11/18/20,795.0
11/19/20,770.0
11/20/20,774.0
11/21/20,422.0
11/22/20,765.0
11/23/20,959.0
11/24/20,857.0
11/25/20,1079.0
11/26/20,1085.0
11/27/20,1032.0
11/28/20,580.0
11/29/20,1025.0
11/30/20,1258.0
12/1/20,1198.0
12/2/20,1579.0
12/3/20,1438.0
12/4/20,695.0
12/5/20,1725.0
12/6/20,1080.0
12/7/20,1891.0
12/8/20,1488.0
12/9/20,1986.0
12/10/20,2126.0
12/11/20,872.0
12/12/20,2517.0
12/13/20,1390.0
12/14/20,2330.0
12/15/20,1124.0
12/16/20,4412.0
12/17/20,2933.0
12/18/20,2177.0
12/19/20,2734.0
12/20/20,1874.0
12/21/20,3499.0
12/22/20,4228.0
12/23/20,2535.0
12/24/20,4656.0
12/25/20,4713.0
12/26/20,4273.0
12/27/20,2806.0
12/28/20,5815.0
12/29/20,5113.0
12/30/20,4186.0
12/31/20,6678.0
1/1/21,5248.0
1/2/21,6289.0
1/3/21,6743.0
1/4/21,6631.0
1/5/21,7966.0
1/6/21,7309.0
1/7/21,7600.0
1/8/21,6309.0
1/9/21,8077.0
1/10/21,5885.0
1/11/21,9754.0
1/12/21,8990.0
1/13/21,9997.0
1/14/21,9754.0
1/15/21,5235.0
1/16/21,8450.0
1/17/21,8190.0
1/18/21,6560.0
1/19/21,7380.0
1/20/21,10213.0
1/21/21,7027.0
1/22/21,6159.0
1/23/21,4933.0
1/24/21,3442.0
1/25/21,3666.0
1/26/21,8587.0
1/27/21,11934.0
1/28/21,7305.0
1/29/21,5096.0
1/30/21,4798.0
1/31/21,4646.0
2/1/21,8811.0
2/2/21,7732.0
2/3/21,8896.0
2/4/21,6744.0
2/5/21,5238.0
2/6/21,4727.0
2/7/21,6518.0
2/8/21,4427.0
2/9/21,7191.0
2/10/21,6010.0
2/11/21,5083.0
2/12/21,3934.0
2/13/21,3100.0
2/14/21,2534.0
2/15/21,5913.0
2/16/21,4282.0
2/17/21,4054.0
2/18/21,3305.0
2/19/21,2579.0
2/20/21,0.0
2/21/21,5530.0
2/22/21,4955.0
2/23/21,4574.0
2/24/21,4184.0
2/25/21,3970.0
2/26/21,3054.0
2/27/21,2555.0
2/28/21,2472.0
3/1/21,4151.0
3/2/21,5260.0
3/3/21,4267.0
3/4/21,3922.0
3/5/21,3058.0
3/6/21,3262.0
3/7/21,1848.0
3/8/21,3541.0
3/9/21,3146.0
3/10/21,3230.0
3/11/21,2758.0
3/12/21,1948.0
3/13/21,1601.0
3/14/21,1178.0
3/15/21,1936.0
3/16/21,1790.0
3/17/21,1475.0
3/18/21,1384.0
3/19/21,1047.0
3/20/21,611.0
3/21/21,552.0
3/22/21,992.0
3/23/21,925.0
3/24/21,339.0
3/25/21,817.0
3/26/21,538.0
3/27/21,0.0
3/28/21,541.0
3/29/21,201.0
3/30/21,514.0
3/31/21,466.0
4/1/21,351.0
4/2/21,251.0
4/3/21,363.0
4/4/21,177.0
4/5/21,356.0
4/6/21,317.0
4/7/21,296.0
4/8/21,270.0
4/9/21,188.0
4/10/21,139.0
4/11/21,120.0
4/12/21,225.0
4/13/21,176.0
4/14/21,256.0
4/15/21,312.0
4/16/21,34.0
4/17/21,-53.0
4/18/21,164.0
4/19/21,171.0
4/20/21,139.0
4/21/21,135.0
4/22/21,315.0
4/23/21,85.0
4/24/21,82.0
4/25/21,50.0
4/26/21,83.0
4/27/21,110.0
4/28/21,106.0
4/29/21,84.0
4/30/21,74.0
5/1/21,0.0
5/2/21,73.0
5/3/21,67.0
5/4/21,76.0
5/5/21,70.0
5/6/21,61.0
5/7/21,30.0
5/8/21,28.0
5/9/21,8.0
5/10/21,63.0
5/11/21,43.0
5/12/21,30.0
5/13/21,29.0
5/14/21,20.0
5/15/21,39.0
5/16/21,1.0
5/17/21,40.0
5/18/21,8.0
5/19/21,54.0
5/20/21,42.0
5/21/21,27.0
5/22/21,18.0
5/23/21,11.0
5/24/21,48.0
5/25/21,22.0
5/26/21,19.0
5/27/21,12.0
5/28/21,13.0
5/29/21,20.0
5/30/21,5.0
5/31/21,17.0
6/1/21,36.0
6/2/21,6.0
6/3/21,15.0
6/4/21,7.0
6/5/21,27.0
6/6/21,5.0
6/7/21,14.0
6/8/21,0.0
6/9/21,0.0
6/10/21,45.0
6/11/21,23.0
6/12/21,8.0
6/13/21,5.0
6/14/21,24.0
