,Japan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,2.0
1/27/20,0.0
1/28/20,3.0
1/29/20,0.0
1/30/20,4.0
1/31/20,4.0
2/1/20,5.0
2/2/20,0.0
2/3/20,0.0
2/4/20,2.0
2/5/20,1.0
2/6/20,0.0
2/7/20,0.0
2/8/20,1.0
2/9/20,0.0
2/10/20,2.0
2/11/20,1.0
2/12/20,1.0
2/13/20,5.0
2/14/20,10.0
2/15/20,11.0
2/16/20,6.0
2/17/20,7.0
2/18/20,12.0
2/19/20,6.0
2/20/20,10.0
2/21/20,17.0
2/22/20,25.0
2/23/20,12.0
2/24/20,11.0
2/25/20,13.0
2/26/20,19.0
2/27/20,26.0
2/28/20,18.0
2/29/20,9.0
3/1/20,14.0
3/2/20,19.0
3/3/20,20.0
3/4/20,35.0
3/5/20,32.0
3/6/20,55.0
3/7/20,46.0
3/8/20,33.0
3/9/20,28.0
3/10/20,58.0
3/11/20,55.0
3/12/20,56.0
3/13/20,37.0
3/14/20,62.0
3/15/20,31.0
3/16/20,17.0
3/17/20,50.0
3/18/20,35.0
3/19/20,40.0
3/20/20,54.0
3/21/20,37.0
3/22/20,45.0
3/23/20,40.0
3/24/20,73.0
3/25/20,97.0
3/26/20,102.0
3/27/20,114.0
3/28/20,198.0
3/29/20,179.0
3/30/20,94.0
3/31/20,254.0
4/1/20,280.0
4/2/20,283.0
4/3/20,336.0
4/4/20,371.0
4/5/20,351.0
4/6/20,234.0
4/7/20,375.0
4/8/20,535.0
4/9/20,594.0
4/10/20,636.0
4/11/20,701.0
4/12/20,522.0
4/13/20,300.0
4/14/20,504.0
4/15/20,558.0
4/16/20,563.0
4/17/20,560.0
4/18/20,590.0
4/19/20,366.0
4/20/20,344.0
4/21/20,383.0
4/22/20,396.0
4/23/20,432.0
4/24/20,385.0
4/25/20,332.0
4/26/20,219.0
4/27/20,171.0
4/28/20,284.0
4/29/20,216.0
4/30/20,208.0
5/1/20,274.0
5/2/20,303.0
5/3/20,200.0
5/4/20,168.0
5/5/20,125.0
5/6/20,101.0
5/7/20,98.0
5/8/20,87.0
5/9/20,115.0
5/10/20,69.0
5/11/20,37.0
5/12/20,87.0
5/13/20,50.0
5/14/20,98.0
5/15/20,52.0
5/16/20,54.0
5/17/20,24.0
5/18/20,33.0
5/19/20,28.0
5/20/20,34.0
5/21/20,41.0
5/22/20,23.0
5/23/20,25.0
5/24/20,41.0
5/25/20,21.0
5/26/20,30.0
5/27/20,26.0
5/28/20,60.0
5/29/20,73.0
5/30/20,45.0
5/31/20,35.0
6/1/20,37.0
6/2/20,51.0
6/3/20,29.0
6/4/20,44.0
6/5/20,47.0
6/6/20,46.0
6/7/20,38.0
6/8/20,21.0
6/9/20,45.0
6/10/20,36.0
6/11/20,44.0
6/12/20,61.0
6/13/20,45.0
6/14/20,75.0
6/15/20,72.0
6/16/20,42.0
6/17/20,46.0
6/18/20,69.0
6/19/20,61.0
6/20/20,64.0
6/21/20,55.0
6/22/20,43.0
6/23/20,57.0
6/24/20,96.0
6/25/20,82.0
6/26/20,105.0
6/27/20,92.0
6/28/20,113.0
6/29/20,110.0
6/30/20,138.0
7/1/20,127.0
7/2/20,194.0
7/3/20,250.0
7/4/20,274.0
7/5/20,208.0
7/6/20,176.0
7/7/20,208.0
7/8/20,207.0
7/9/20,355.0
7/10/20,430.0
7/11/20,386.0
7/12/20,407.0
7/13/20,259.0
7/14/20,333.0
7/15/20,450.0
7/16/20,624.0
7/17/20,597.0
7/18/20,661.0
7/19/20,511.0
7/20/20,418.0
7/21/20,632.0
7/22/20,795.0
7/23/20,981.0
7/24/20,779.0
7/25/20,801.0
7/26/20,839.0
7/27/20,600.0
7/28/20,985.0
7/29/20,1270.0
7/30/20,1308.0
7/31/20,1586.0
8/1/20,1534.0
8/2/20,1331.0
8/3/20,965.0
8/4/20,1246.0
8/5/20,1355.0
8/6/20,1485.0
8/7/20,1605.0
8/8/20,1571.0
8/9/20,1441.0
8/10/20,838.0
8/11/20,697.0
8/12/20,979.0
8/13/20,1172.0
8/14/20,1356.0
8/15/20,1231.0
8/16/20,1017.0
8/17/20,647.0
8/18/20,916.0
8/19/20,1070.0
8/20/20,1178.0
8/21/20,1037.0
8/22/20,984.0
8/23/20,744.0
8/24/20,493.0
8/25/20,715.0
8/26/20,903.0
8/27/20,863.0
8/28/20,876.0
8/29/20,844.0
8/30/20,600.0
8/31/20,436.0
9/1/20,633.0
9/2/20,592.0
9/3/20,657.0
9/4/20,587.0
9/5/20,598.0
9/6/20,451.0
9/7/20,291.0
9/8/20,509.0
9/9/20,508.0
9/10/20,712.0
9/11/20,642.0
9/12/20,646.0
9/13/20,439.0
9/14/20,266.0
9/15/20,531.0
9/16/20,551.0
9/17/20,489.0
9/18/20,572.0
9/19/20,596.0
9/20/20,480.0
9/21/20,310.0
9/22/20,331.0
9/23/20,219.0
9/24/20,482.0
9/25/20,573.0
9/26/20,639.0
9/27/20,485.0
9/28/20,302.0
9/29/20,527.0
9/30/20,576.0
10/1/20,633.0
10/2/20,542.0
10/3/20,574.0
10/4/20,400.0
10/5/20,279.0
10/6/20,500.0
10/7/20,506.0
10/8/20,627.0
10/9/20,603.0
10/10/20,678.0
10/11/20,436.0
10/12/20,278.0
10/13/20,498.0
10/14/20,552.0
10/15/20,708.0
10/16/20,639.0
10/17/20,623.0
10/18/20,430.0
10/19/20,316.0
10/20/20,481.0
10/21/20,615.0
10/22/20,616.0
10/23/20,745.0
10/24/20,726.0
10/25/20,493.0
10/26/20,410.0
10/27/20,646.0
10/28/20,731.0
10/29/20,808.0
10/30/20,774.0
10/31/20,877.0
11/1/20,613.0
11/2/20,487.0
11/3/20,865.0
11/4/20,624.0
11/5/20,1048.0
11/6/20,1143.0
11/7/20,1333.0
11/8/20,950.0
11/9/20,780.0
11/10/20,1283.0
11/11/20,1544.0
11/12/20,1659.0
11/13/20,1704.0
11/14/20,1735.0
11/15/20,1439.0
11/16/20,950.0
11/17/20,1700.0
11/18/20,2194.0
11/19/20,2385.0
11/20/20,2421.0
11/21/20,2592.0
11/22/20,2159.0
11/23/20,1518.0
11/24/20,1229.0
11/25/20,1942.0
11/26/20,2500.0
11/27/20,2531.0
11/28/20,2675.0
11/29/20,2062.0
11/30/20,1436.0
12/1/20,2033.0
12/2/20,2432.0
12/3/20,2517.0
12/4/20,2452.0
12/5/20,2508.0
12/6/20,2038.0
12/7/20,1531.0
12/8/20,2176.0
12/9/20,2810.0
12/10/20,2969.0
12/11/20,2795.0
12/12/20,3037.0
12/13/20,2383.0
12/14/20,1681.0
12/15/20,2426.0
12/16/20,2996.0
12/17/20,3209.0
12/18/20,2837.0
12/19/20,2989.0
12/20/20,2491.0
12/21/20,1811.0
12/22/20,2694.0
12/23/20,3276.0
12/24/20,3746.0
12/25/20,3832.0
12/26/20,3885.0
12/27/20,2944.0
12/28/20,2397.0
12/29/20,3627.0
12/30/20,3871.0
12/31/20,4532.0
1/1/21,3256.0
1/2/21,3071.0
1/3/21,3166.0
1/4/21,3343.0
1/5/21,4949.0
1/6/21,6049.0
1/7/21,7642.0
1/8/21,7957.0
1/9/21,7854.0
1/10/21,6108.0
1/11/21,4906.0
1/12/21,4597.0
1/13/21,5917.0
1/14/21,6656.0
1/15/21,7173.0
1/16/21,7042.0
1/17/21,5760.0
1/18/21,4937.0
1/19/21,5335.0
1/20/21,5562.0
1/21/21,5664.0
1/22/21,5057.0
1/23/21,4726.0
1/24/21,3990.0
1/25/21,2763.0
1/26/21,3853.0
1/27/21,3974.0
1/28/21,4131.0
1/29/21,3538.0
1/30/21,3342.0
1/31/21,2673.0
2/1/21,1793.0
2/2/21,2324.0
2/3/21,2634.0
2/4/21,2578.0
2/5/21,2370.0
2/6/21,2277.0
2/7/21,1630.0
2/8/21,1217.0
2/9/21,1568.0
2/10/21,1886.0
2/11/21,1690.0
2/12/21,1300.0
2/13/21,1360.0
2/14/21,1362.0
2/15/21,965.0
2/16/21,1308.0
2/17/21,1448.0
2/18/21,1536.0
2/19/21,1301.0
2/20/21,1233.0
2/21/21,1032.0
2/22/21,740.0
2/23/21,1081.0
2/24/21,921.0
2/25/21,1076.0
2/26/21,1054.0
2/27/21,1213.0
2/28/21,999.0
3/1/21,698.0
3/2/21,888.0
3/3/21,1243.0
3/4/21,1169.0
3/5/21,1148.0
3/6/21,1043.0
3/7/21,1071.0
3/8/21,600.0
3/9/21,1127.0
3/10/21,1313.0
3/11/21,1317.0
3/12/21,1271.0
3/13/21,1319.0
3/14/21,987.0
3/15/21,695.0
3/16/21,1133.0
3/17/21,1533.0
3/18/21,1497.0
3/19/21,1463.0
3/20/21,1516.0
3/21/21,1118.0
3/22/21,816.0
3/23/21,1500.0
3/24/21,1917.0
3/25/21,1915.0
3/26/21,2025.0
3/27/21,2071.0
3/28/21,1782.0
3/29/21,1345.0
3/30/21,2087.0
3/31/21,2843.0
4/1/21,2605.0
4/2/21,2754.0
4/3/21,2772.0
4/4/21,2467.0
4/5/21,1571.0
4/6/21,2666.0
4/7/21,3448.0
4/8/21,3496.0
4/9/21,3488.0
4/10/21,3765.0
4/11/21,2836.0
4/12/21,2104.0
4/13/21,3452.0
4/14/21,4307.0
4/15/21,4569.0
4/16/21,4524.0
4/17/21,4793.0
4/18/21,4084.0
4/19/21,2903.0
4/20/21,4350.0
4/21/21,5286.0
4/22/21,5492.0
4/23/21,5104.0
4/24/21,5595.0
4/25/21,4599.0
4/26/21,3314.0
4/27/21,4961.0
4/28/21,5783.0
4/29/21,5913.0
4/30/21,4684.0
5/1/21,5983.0
5/2/21,5890.0
5/3/21,4464.0
5/4/21,4190.0
5/5/21,4060.0
5/6/21,4370.0
5/7/21,6050.0
5/8/21,7238.0
5/9/21,6484.0
5/10/21,4940.0
5/11/21,6235.0
5/12/21,7051.0
5/13/21,6874.0
5/14/21,6262.0
5/15/21,6417.0
5/16/21,5256.0
5/17/21,3677.0
5/18/21,5224.0
5/19/21,5791.0
5/20/21,5712.0
5/21/21,5245.0
5/22/21,5035.0
5/23/21,4039.0
5/24/21,2711.0
5/25/21,3892.0
5/26/21,4533.0
5/27/21,4132.0
5/28/21,3703.0
5/29/21,3593.0
5/30/21,2874.0
5/31/21,1791.0
6/1/21,2639.0
6/2/21,3034.0
6/3/21,2831.0
6/4/21,2592.0
6/5/21,2650.0
6/6/21,2020.0
6/7/21,1280.0
6/8/21,1881.0
6/9/21,2238.0
6/10/21,2042.0
6/11/21,1934.0
6/12/21,1941.0
