,Portugal
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,2.0
3/3/20,0.0
3/4/20,3.0
3/5/20,3.0
3/6/20,5.0
3/7/20,7.0
3/8/20,10.0
3/9/20,0.0
3/10/20,11.0
3/11/20,18.0
3/12/20,0.0
3/13/20,53.0
3/14/20,57.0
3/15/20,76.0
3/16/20,86.0
3/17/20,117.0
3/18/20,0.0
3/19/20,337.0
3/20/20,235.0
3/21/20,260.0
3/22/20,320.0
3/23/20,460.0
3/24/20,302.0
3/25/20,633.0
3/26/20,549.0
3/27/20,724.0
3/28/20,902.0
3/29/20,792.0
3/30/20,446.0
3/31/20,1035.0
4/1/20,808.0
4/2/20,783.0
4/3/20,852.0
4/4/20,638.0
4/5/20,754.0
4/6/20,452.0
4/7/20,712.0
4/8/20,699.0
4/9/20,815.0
4/10/20,1516.0
4/11/20,515.0
4/12/20,598.0
4/13/20,349.0
4/14/20,514.0
4/15/20,643.0
4/16/20,750.0
4/17/20,181.0
4/18/20,663.0
4/19/20,521.0
4/20/20,657.0
4/21/20,516.0
4/22/20,603.0
4/23/20,371.0
4/24/20,444.0
4/25/20,595.0
4/26/20,472.0
4/27/20,163.0
4/28/20,295.0
4/29/20,183.0
4/30/20,540.0
5/1/20,306.0
5/2/20,-161.0
5/3/20,92.0
5/4/20,242.0
5/5/20,178.0
5/6/20,480.0
5/7/20,533.0
5/8/20,553.0
5/9/20,138.0
5/10/20,175.0
5/11/20,98.0
5/12/20,234.0
5/13/20,219.0
5/14/20,187.0
5/15/20,264.0
5/16/20,227.0
5/17/20,226.0
5/18/20,173.0
5/19/20,223.0
5/20/20,228.0
5/21/20,252.0
5/22/20,288.0
5/23/20,271.0
5/24/20,152.0
5/25/20,165.0
5/26/20,219.0
5/27/20,285.0
5/28/20,304.0
5/29/20,350.0
5/30/20,257.0
5/31/20,297.0
6/1/20,200.0
6/2/20,195.0
6/3/20,366.0
6/4/20,331.0
6/5/20,377.0
6/6/20,382.0
6/7/20,342.0
6/8/20,192.0
6/9/20,421.0
6/10/20,294.0
6/11/20,310.0
6/12/20,270.0
6/13/20,283.0
6/14/20,227.0
6/15/20,346.0
6/16/20,300.0
6/17/20,336.0
6/18/20,417.0
6/19/20,375.0
6/20/20,377.0
6/21/20,292.0
6/22/20,259.0
6/23/20,345.0
6/24/20,367.0
6/25/20,311.0
6/26/20,451.0
6/27/20,323.0
6/28/20,457.0
6/29/20,266.0
6/30/20,229.0
7/1/20,313.0
7/2/20,328.0
7/3/20,374.0
7/4/20,413.0
7/5/20,328.0
7/6/20,232.0
7/7/20,287.0
7/8/20,443.0
7/9/20,418.0
7/10/20,402.0
7/11/20,542.0
7/12/20,291.0
7/13/20,306.0
7/14/20,233.0
7/15/20,375.0
7/16/20,339.0
7/17/20,312.0
7/18/20,313.0
7/19/20,246.0
7/20/20,135.0
7/21/20,127.0
7/22/20,252.0
7/23/20,229.0
7/24/20,313.0
7/25/20,263.0
7/26/20,209.0
7/27/20,135.0
7/28/20,111.0
7/29/20,203.0
7/30/20,255.0
7/31/20,204.0
8/1/20,238.0
8/2/20,153.0
8/3/20,106.0
8/4/20,112.0
8/5/20,167.0
8/6/20,213.0
8/7/20,290.0
8/8/20,186.0
8/9/20,131.0
8/10/20,157.0
8/11/20,120.0
8/12/20,278.0
8/13/20,325.0
8/14/20,235.0
8/15/20,198.0
8/16/20,121.0
8/17/20,132.0
8/18/20,214.0
8/19/20,253.0
8/20/20,291.0
8/21/20,219.0
8/22/20,241.0
8/23/20,145.0
8/24/20,123.0
8/25/20,192.0
8/26/20,362.0
8/27/20,399.0
8/28/20,401.0
8/29/20,374.0
8/30/20,320.0
8/31/20,244.0
9/1/20,231.0
9/2/20,390.0
9/3/20,418.0
9/4/20,406.0
9/5/20,486.0
9/6/20,315.0
9/7/20,249.0
9/8/20,388.0
9/9/20,646.0
9/10/20,585.0
9/11/20,687.0
9/12/20,497.0
9/13/20,673.0
9/14/20,613.0
9/15/20,425.0
9/16/20,605.0
9/17/20,770.0
9/18/20,780.0
9/19/20,849.0
9/20/20,552.0
9/21/20,623.0
9/22/20,463.0
9/23/20,802.0
9/24/20,691.0
9/25/20,899.0
9/26/20,884.0
9/27/20,665.0
9/28/20,425.0
9/29/20,688.0
9/30/20,825.0
10/1/20,854.0
10/2/20,888.0
10/3/20,963.0
10/4/20,904.0
10/5/20,734.0
10/6/20,427.0
10/7/20,944.0
10/8/20,1278.0
10/9/20,1394.0
10/10/20,1646.0
10/11/20,1090.0
10/12/20,1249.0
10/13/20,1208.0
10/14/20,2072.0
10/15/20,2101.0
10/16/20,2608.0
10/17/20,2153.0
10/18/20,1856.0
10/19/20,1949.0
10/20/20,1876.0
10/21/20,2535.0
10/22/20,3270.0
10/23/20,2899.0
10/24/20,3669.0
10/25/20,2577.0
10/26/20,2447.0
10/27/20,3299.0
10/28/20,3960.0
10/29/20,4224.0
10/30/20,4656.0
10/31/20,4007.0
11/1/20,3062.0
11/2/20,2506.0
11/3/20,2596.0
11/4/20,7497.0
11/5/20,4410.0
11/6/20,5550.0
11/7/20,6640.0
11/8/20,5784.0
11/9/20,4096.0
11/10/20,3817.0
11/11/20,4935.0
11/12/20,5839.0
11/13/20,6653.0
11/14/20,6602.0
11/15/20,6035.0
11/16/20,8371.0
11/17/20,4452.0
11/18/20,5891.0
11/19/20,6994.0
11/20/20,6489.0
11/21/20,6472.0
11/22/20,4788.0
11/23/20,4044.0
11/24/20,3919.0
11/25/20,5290.0
11/26/20,6383.0
11/27/20,5444.0
11/28/20,4868.0
11/29/20,4093.0
11/30/20,3262.0
12/1/20,2401.0
12/2/20,3384.0
12/3/20,3772.0
12/4/20,4935.0
12/5/20,6087.0
12/6/20,3834.0
12/7/20,2597.0
12/8/20,2905.0
12/9/20,4097.0
12/10/20,3134.0
12/11/20,5080.0
12/12/20,4413.0
12/13/20,4044.0
12/14/20,2194.0
12/15/20,2638.0
12/16/20,4720.0
12/17/20,4320.0
12/18/20,4336.0
12/19/20,3835.0
12/20/20,3334.0
12/21/20,2099.0
12/22/20,2436.0
12/23/20,4602.0
12/24/20,4378.0
12/25/20,4146.0
12/26/20,1214.0
12/27/20,1577.0
12/28/20,2093.0
12/29/20,3336.0
12/30/20,6049.0
12/31/20,7627.0
1/1/21,6951.0
1/2/21,3241.0
1/3/21,3384.0
1/4/21,4369.0
1/5/21,4956.0
1/6/21,10027.0
1/7/21,9927.0
1/8/21,10176.0
1/9/21,9478.0
1/10/21,7502.0
1/11/21,5604.0
1/12/21,7259.0
1/13/21,10556.0
1/14/21,10698.0
1/15/21,10663.0
1/16/21,10947.0
1/17/21,10385.0
1/18/21,6702.0
1/19/21,10455.0
1/20/21,14647.0
1/21/21,13544.0
1/22/21,13987.0
1/23/21,15333.0
1/24/21,11721.0
1/25/21,6923.0
1/26/21,10765.0
1/27/21,15073.0
1/28/21,16432.0
1/29/21,13200.0
1/30/21,12435.0
1/31/21,9498.0
2/1/21,5805.0
2/2/21,5540.0
2/3/21,9083.0
2/4/21,7914.0
2/5/21,6916.0
2/6/21,6132.0
2/7/21,3508.0
2/8/21,2505.0
2/9/21,2583.0
2/10/21,4387.0
2/11/21,3480.0
2/12/21,2854.0
2/13/21,2856.0
2/14/21,1677.0
2/15/21,1303.0
2/16/21,1502.0
2/17/21,2324.0
2/18/21,1944.0
2/19/21,1940.0
2/20/21,1570.0
2/21/21,1186.0
2/22/21,549.0
2/23/21,1032.0
2/24/21,1480.0
2/25/21,1160.0
2/26/21,1027.0
2/27/21,1071.0
2/28/21,718.0
3/1/21,394.0
3/2/21,691.0
3/3/21,979.0
3/4/21,830.0
3/5/21,949.0
3/6/21,1007.0
3/7/21,682.0
3/8/21,365.0
3/9/21,847.0
3/10/21,642.0
3/11/21,627.0
3/12/21,577.0
3/13/21,564.0
3/14/21,541.0
3/15/21,256.0
3/16/21,384.0
3/17/21,673.0
3/18/21,485.0
3/19/21,568.0
3/20/21,457.0
3/21/21,450.0
3/22/21,248.0
3/23/21,434.0
3/24/21,575.0
3/25/21,423.0
3/26/21,488.0
3/27/21,344.0
3/28/21,365.0
3/29/21,309.0
3/30/21,388.0
3/31/21,618.0
4/1/21,592.0
4/2/21,548.0
4/3/21,280.0
4/4/21,193.0
4/5/21,159.0
4/6/21,874.0
4/7/21,663.0
4/8/21,602.0
4/9/21,694.0
4/10/21,601.0
4/11/21,566.0
4/12/21,271.0
4/13/21,408.0
4/14/21,684.0
4/15/21,501.0
4/16/21,553.0
4/17/21,649.0
4/18/21,441.0
4/19/21,220.0
4/20/21,424.0
4/21/21,610.0
4/22/21,636.0
4/23/21,506.0
4/24/21,567.0
4/25/21,478.0
4/26/21,196.0
4/27/21,353.0
4/28/21,572.0
4/29/21,470.0
4/30/21,460.0
5/1/21,454.0
5/2/21,330.0
5/3/21,180.0
5/4/21,258.0
5/5/21,387.0
5/6/21,373.0
5/7/21,377.0
5/8/21,406.0
5/9/21,324.0
5/10/21,158.0
5/11/21,268.0
5/12/21,485.0
5/13/21,436.0
5/14/21,450.0
5/15/21,469.0
5/16/21,334.0
5/17/21,199.0
5/18/21,386.0
5/19/21,511.0
5/20/21,451.0
5/21/21,559.0
5/22/21,523.0
5/23/21,413.0
5/24/21,241.0
5/25/21,375.0
5/26/21,594.0
5/27/21,572.0
5/28/21,598.0
5/29/21,609.0
5/30/21,445.0
5/31/21,435.0
6/1/21,445.0
6/2/21,724.0
6/3/21,769.0
6/4/21,430.0
6/5/21,573.0
6/6/21,612.0
6/7/21,388.0
6/8/21,598.0
6/9/21,890.0
6/10/21,910.0
6/11/21,519.0
6/12/21,789.0
6/13/21,707.0
6/14/21,625.0
6/15/21,973.0
6/16/21,1350.0
6/17/21,1233.0
6/18/21,1298.0
6/19/21,1183.0
6/20/21,941.0
