,Qatar
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,1.0
3/1/20,2.0
3/2/20,0.0
3/3/20,4.0
3/4/20,1.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,7.0
3/9/20,3.0
3/10/20,6.0
3/11/20,238.0
3/12/20,0.0
3/13/20,58.0
3/14/20,17.0
3/15/20,64.0
3/16/20,38.0
3/17/20,0.0
3/18/20,13.0
3/19/20,8.0
3/20/20,10.0
3/21/20,11.0
3/22/20,13.0
3/23/20,7.0
3/24/20,25.0
3/25/20,11.0
3/26/20,12.0
3/27/20,13.0
3/28/20,28.0
3/29/20,44.0
3/30/20,59.0
3/31/20,88.0
4/1/20,54.0
4/2/20,114.0
4/3/20,126.0
4/4/20,250.0
4/5/20,279.0
4/6/20,228.0
4/7/20,225.0
4/8/20,153.0
4/9/20,166.0
4/10/20,136.0
4/11/20,216.0
4/12/20,251.0
4/13/20,252.0
4/14/20,197.0
4/15/20,283.0
4/16/20,392.0
4/17/20,560.0
4/18/20,345.0
4/19/20,440.0
4/20/20,567.0
4/21/20,518.0
4/22/20,608.0
4/23/20,623.0
4/24/20,761.0
4/25/20,833.0
4/26/20,929.0
4/27/20,957.0
4/28/20,677.0
4/29/20,643.0
4/30/20,845.0
5/1/20,687.0
5/2/20,776.0
5/3/20,679.0
5/4/20,640.0
5/5/20,951.0
5/6/20,830.0
5/7/20,918.0
5/8/20,1311.0
5/9/20,1130.0
5/10/20,1189.0
5/11/20,1103.0
5/12/20,1526.0
5/13/20,1390.0
5/14/20,1733.0
5/15/20,1153.0
5/16/20,1547.0
5/17/20,1632.0
5/18/20,1365.0
5/19/20,1637.0
5/20/20,1491.0
5/21/20,1554.0
5/22/20,1830.0
5/23/20,1732.0
5/24/20,1501.0
5/25/20,1751.0
5/26/20,1742.0
5/27/20,1740.0
5/28/20,1967.0
5/29/20,1993.0
5/30/20,2355.0
5/31/20,1648.0
6/1/20,1523.0
6/2/20,1826.0
6/3/20,1901.0
6/4/20,1581.0
6/5/20,1754.0
6/6/20,1700.0
6/7/20,1595.0
6/8/20,1368.0
6/9/20,1721.0
6/10/20,1716.0
6/11/20,1476.0
6/12/20,1517.0
6/13/20,1828.0
6/14/20,1186.0
6/15/20,1274.0
6/16/20,1201.0
6/17/20,1097.0
6/18/20,1267.0
6/19/20,1021.0
6/20/20,1026.0
6/21/20,881.0
6/22/20,1034.0
6/23/20,1176.0
6/24/20,1199.0
6/25/20,1060.0
6/26/20,946.0
6/27/20,879.0
6/28/20,750.0
6/29/20,693.0
6/30/20,982.0
7/1/20,915.0
7/2/20,894.0
7/3/20,756.0
7/4/20,530.0
7/5/20,616.0
7/6/20,546.0
7/7/20,600.0
7/8/20,608.0
7/9/20,557.0
7/10/20,520.0
7/11/20,498.0
7/12/20,470.0
7/13/20,418.0
7/14/20,517.0
7/15/20,450.0
7/16/20,494.0
7/17/20,421.0
7/18/20,410.0
7/19/20,340.0
7/20/20,389.0
7/21/20,393.0
7/22/20,441.0
7/23/20,373.0
7/24/20,394.0
7/25/20,398.0
7/26/20,269.0
7/27/20,292.0
7/28/20,283.0
7/29/20,273.0
7/30/20,307.0
7/31/20,235.0
8/1/20,216.0
8/2/20,196.0
8/3/20,215.0
8/4/20,216.0
8/5/20,267.0
8/6/20,287.0
8/7/20,291.0
8/8/20,267.0
8/9/20,297.0
8/10/20,315.0
8/11/20,384.0
8/12/20,292.0
8/13/20,343.0
8/14/20,251.0
8/15/20,277.0
8/16/20,271.0
8/17/20,288.0
8/18/20,293.0
8/19/20,295.0
8/20/20,268.0
8/21/20,257.0
8/22/20,284.0
8/23/20,243.0
8/24/20,258.0
8/25/20,232.0
8/26/20,244.0
8/27/20,246.0
8/28/20,208.0
8/29/20,211.0
8/30/20,168.0
8/31/20,203.0
9/1/20,216.0
9/2/20,212.0
9/3/20,214.0
9/4/20,217.0
9/5/20,227.0
9/6/20,231.0
9/7/20,253.0
9/8/20,231.0
9/9/20,267.0
9/10/20,206.0
9/11/20,235.0
9/12/20,236.0
9/13/20,217.0
9/14/20,235.0
9/15/20,239.0
9/16/20,235.0
9/17/20,244.0
9/18/20,224.0
9/19/20,229.0
9/20/20,230.0
9/21/20,228.0
9/22/20,313.0
9/23/20,258.0
9/24/20,250.0
9/25/20,225.0
9/26/20,200.0
9/27/20,234.0
9/28/20,227.0
9/29/20,222.0
9/30/20,227.0
10/1/20,199.0
10/2/20,205.0
10/3/20,175.0
10/4/20,159.0
10/5/20,194.0
10/6/20,251.0
10/7/20,238.0
10/8/20,213.0
10/9/20,206.0
10/10/20,178.0
10/11/20,207.0
10/12/20,206.0
10/13/20,214.0
10/14/20,198.0
10/15/20,200.0
10/16/20,189.0
10/17/20,235.0
10/18/20,204.0
10/19/20,240.0
10/20/20,273.0
10/21/20,266.0
10/22/20,252.0
10/23/20,249.0
10/24/20,254.0
10/25/20,205.0
10/26/20,262.0
10/27/20,257.0
10/28/20,250.0
10/29/20,211.0
10/30/20,193.0
10/31/20,213.0
11/1/20,164.0
11/2/20,197.0
11/3/20,226.0
11/4/20,227.0
11/5/20,249.0
11/6/20,192.0
11/7/20,202.0
11/8/20,190.0
11/9/20,230.0
11/10/20,230.0
11/11/20,224.0
11/12/20,245.0
11/13/20,235.0
11/14/20,203.0
11/15/20,215.0
11/16/20,243.0
11/17/20,194.0
11/18/20,219.0
11/19/20,208.0
11/20/20,239.0
11/21/20,174.0
11/22/20,167.0
11/23/20,186.0
11/24/20,227.0
11/25/20,209.0
11/26/20,215.0
11/27/20,184.0
11/28/20,227.0
11/29/20,171.0
11/30/20,185.0
12/1/20,168.0
12/2/20,255.0
12/3/20,221.0
12/4/20,166.0
12/5/20,140.0
12/6/20,125.0
12/7/20,178.0
12/8/20,117.0
12/9/20,150.0
12/10/20,163.0
12/11/20,164.0
12/12/20,147.0
12/13/20,134.0
12/14/20,160.0
12/15/20,151.0
12/16/20,145.0
12/17/20,140.0
12/18/20,159.0
12/19/20,142.0
12/20/20,143.0
12/21/20,158.0
12/22/20,149.0
12/23/20,140.0
12/24/20,157.0
12/25/20,129.0
12/26/20,169.0
12/27/20,159.0
12/28/20,160.0
12/29/20,206.0
12/30/20,193.0
12/31/20,213.0
1/1/21,208.0
1/2/21,198.0
1/3/21,197.0
1/4/21,207.0
1/5/21,208.0
1/6/21,209.0
1/7/21,210.0
1/8/21,195.0
1/9/21,206.0
1/10/21,193.0
1/11/21,203.0
1/12/21,211.0
1/13/21,201.0
1/14/21,209.0
1/15/21,196.0
1/16/21,204.0
1/17/21,188.0
1/18/21,227.0
1/19/21,225.0
1/20/21,271.0
1/21/21,258.0
1/22/21,263.0
1/23/21,251.0
1/24/21,247.0
1/25/21,277.0
1/26/21,299.0
1/27/21,338.0
1/28/21,347.0
1/29/21,341.0
1/30/21,363.0
1/31/21,351.0
2/1/21,385.0
2/2/21,375.0
2/3/21,396.0
2/4/21,407.0
2/5/21,398.0
2/6/21,394.0
2/7/21,408.0
2/8/21,427.0
2/9/21,477.0
2/10/21,451.0
2/11/21,448.0
2/12/21,450.0
2/13/21,453.0
2/14/21,440.0
2/15/21,888.0
2/16/21,6.0
2/17/21,453.0
2/18/21,462.0
2/19/21,465.0
2/20/21,449.0
2/21/21,459.0
2/22/21,463.0
2/23/21,455.0
2/24/21,459.0
2/25/21,465.0
2/26/21,469.0
2/27/21,460.0
2/28/21,467.0
3/1/21,473.0
3/2/21,463.0
3/3/21,471.0
3/4/21,475.0
3/5/21,469.0
3/6/21,460.0
3/7/21,474.0
3/8/21,468.0
3/9/21,471.0
3/10/21,473.0
3/11/21,468.0
3/12/21,455.0
3/13/21,483.0
3/14/21,485.0
3/15/21,481.0
3/16/21,479.0
3/17/21,489.0
3/18/21,499.0
3/19/21,497.0
3/20/21,509.0
3/21/21,503.0
3/22/21,519.0
3/23/21,534.0
3/24/21,570.0
3/25/21,587.0
3/26/21,602.0
3/27/21,614.0
3/28/21,639.0
3/29/21,690.0
3/30/21,720.0
3/31/21,780.0
4/1/21,840.0
4/2/21,874.0
4/3/21,870.0
4/4/21,876.0
4/5/21,910.0
4/6/21,927.0
4/7/21,940.0
4/8/21,949.0
4/9/21,950.0
4/10/21,964.0
4/11/21,961.0
4/12/21,973.0
4/13/21,981.0
4/14/21,984.0
4/15/21,989.0
4/16/21,978.0
4/17/21,827.0
4/18/21,823.0
4/19/21,896.0
4/20/21,885.0
4/21/21,819.0
4/22/21,800.0
4/23/21,798.0
4/24/21,718.0
4/25/21,705.0
4/26/21,703.0
4/27/21,695.0
4/28/21,690.0
4/29/21,687.0
4/30/21,676.0
5/1/21,650.0
5/2/21,646.0
5/3/21,644.0
5/4/21,640.0
5/5/21,645.0
5/6/21,593.0
5/7/21,600.0
5/8/21,533.0
5/9/21,389.0
5/10/21,397.0
5/11/21,343.0
5/12/21,392.0
5/13/21,299.0
5/14/21,244.0
5/15/21,260.0
5/16/21,256.0
5/17/21,302.0
5/18/21,370.0
5/19/21,295.0
5/20/21,313.0
5/21/21,367.0
5/22/21,330.0
5/23/21,283.0
5/24/21,299.0
5/25/21,349.0
5/26/21,306.0
5/27/21,286.0
5/28/21,202.0
5/29/21,156.0
5/30/21,189.0
5/31/21,228.0
6/1/21,230.0
6/2/21,194.0
6/3/21,198.0
6/4/21,183.0
6/5/21,192.0
6/6/21,172.0
6/7/21,171.0
6/8/21,182.0
6/9/21,158.0
6/10/21,143.0
6/11/21,185.0
6/12/21,147.0
6/13/21,117.0
6/14/21,157.0
6/15/21,146.0
6/16/21,165.0
6/17/21,127.0
6/18/21,184.0
6/19/21,184.0
6/20/21,107.0
6/21/21,130.0
6/22/21,189.0
6/23/21,154.0
6/24/21,105.0
6/25/21,87.0
6/26/21,125.0
6/27/21,102.0
6/28/21,118.0
6/29/21,143.0
6/30/21,118.0
