,Russia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,2.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,9.0
3/7/20,0.0
3/8/20,4.0
3/9/20,0.0
3/10/20,3.0
3/11/20,0.0
3/12/20,8.0
3/13/20,17.0
3/14/20,14.0
3/15/20,4.0
3/16/20,27.0
3/17/20,24.0
3/18/20,33.0
3/19/20,52.0
3/20/20,54.0
3/21/20,53.0
3/22/20,61.0
3/23/20,71.0
3/24/20,57.0
3/25/20,163.0
3/26/20,182.0
3/27/20,196.0
3/28/20,228.0
3/29/20,270.0
3/30/20,302.0
3/31/20,501.0
4/1/20,440.0
4/2/20,771.0
4/3/20,601.0
4/4/20,582.0
4/5/20,658.0
4/6/20,954.0
4/7/20,1154.0
4/8/20,1175.0
4/9/20,1459.0
4/10/20,1786.0
4/11/20,1667.0
4/12/20,2186.0
4/13/20,2558.0
4/14/20,2774.0
4/15/20,3388.0
4/16/20,3448.0
4/17/20,4070.0
4/18/20,4785.0
4/19/20,6060.0
4/20/20,4268.0
4/21/20,5642.0
4/22/20,5236.0
4/23/20,4774.0
4/24/20,5849.0
4/25/20,5966.0
4/26/20,6361.0
4/27/20,6198.0
4/28/20,6411.0
4/29/20,5841.0
4/30/20,7099.0
5/1/20,7933.0
5/2/20,9623.0
5/3/20,10633.0
5/4/20,10581.0
5/5/20,10102.0
5/6/20,10559.0
5/7/20,11231.0
5/8/20,10699.0
5/9/20,10817.0
5/10/20,11012.0
5/11/20,11656.0
5/12/20,10899.0
5/13/20,10028.0
5/14/20,9974.0
5/15/20,10598.0
5/16/20,9200.0
5/17/20,9709.0
5/18/20,8926.0
5/19/20,9263.0
5/20/20,8764.0
5/21/20,8849.0
5/22/20,8894.0
5/23/20,9434.0
5/24/20,8599.0
5/25/20,8946.0
5/26/20,8915.0
5/27/20,8338.0
5/28/20,8371.0
5/29/20,8572.0
5/30/20,8952.0
5/31/20,9268.0
6/1/20,8485.0
6/2/20,8858.0
6/3/20,8529.0
6/4/20,8823.0
6/5/20,8718.0
6/6/20,8846.0
6/7/20,8971.0
6/8/20,8970.0
6/9/20,8587.0
6/10/20,8393.0
6/11/20,8777.0
6/12/20,8961.0
6/13/20,8697.0
6/14/20,8809.0
6/15/20,8217.0
6/16/20,8241.0
6/17/20,7824.0
6/18/20,7772.0
6/19/20,7971.0
6/20/20,7870.0
6/21/20,7717.0
6/22/20,7586.0
6/23/20,7413.0
6/24/20,7165.0
6/25/20,7105.0
6/26/20,6788.0
6/27/20,6843.0
6/28/20,6784.0
6/29/20,6683.0
6/30/20,6683.0
7/1/20,6550.0
7/2/20,6752.0
7/3/20,6710.0
7/4/20,6623.0
7/5/20,6719.0
7/6/20,6569.0
7/7/20,6363.0
7/8/20,6534.0
7/9/20,6491.0
7/10/20,6623.0
7/11/20,6586.0
7/12/20,6587.0
7/13/20,6511.0
7/14/20,6240.0
7/15/20,6410.0
7/16/20,6415.0
7/17/20,6389.0
7/18/20,6214.0
7/19/20,6096.0
7/20/20,5901.0
7/21/20,5828.0
7/22/20,5850.0
7/23/20,5830.0
7/24/20,5779.0
7/25/20,5833.0
7/26/20,5741.0
7/27/20,5607.0
7/28/20,5380.0
7/29/20,5449.0
7/30/20,5484.0
7/31/20,5468.0
8/1/20,5429.0
8/2/20,5387.0
8/3/20,5364.0
8/4/20,5121.0
8/5/20,5186.0
8/6/20,5239.0
8/7/20,5191.0
8/8/20,5185.0
8/9/20,5155.0
8/10/20,5081.0
8/11/20,4892.0
8/12/20,5054.0
8/13/20,5017.0
8/14/20,5016.0
8/15/20,5030.0
8/16/20,4911.0
8/17/20,4839.0
8/18/20,4718.0
8/19/20,4790.0
8/20/20,4767.0
8/21/20,4838.0
8/22/20,4860.0
8/23/20,4797.0
8/24/20,4688.0
8/25/20,4639.0
8/26/20,4642.0
8/27/20,4675.0
8/28/20,4758.0
8/29/20,4843.0
8/30/20,4897.0
8/31/20,4932.0
9/1/20,4670.0
9/2/20,4893.0
9/3/20,4958.0
9/4/20,5064.0
9/5/20,5144.0
9/6/20,5097.0
9/7/20,5106.0
9/8/20,5020.0
9/9/20,5172.0
9/10/20,5310.0
9/11/20,5421.0
9/12/20,5406.0
9/13/20,5361.0
9/14/20,5414.0
9/15/20,5435.0
9/16/20,5612.0
9/17/20,5667.0
9/18/20,5803.0
9/19/20,5960.0
9/20/20,6043.0
9/21/20,6090.0
9/22/20,6109.0
9/23/20,6330.0
9/24/20,6489.0
9/25/20,7112.0
9/26/20,7421.0
9/27/20,7764.0
9/28/20,8026.0
9/29/20,8129.0
9/30/20,8371.0
10/1/20,8835.0
10/2/20,9294.0
10/3/20,9735.0
10/4/20,10376.0
10/5/20,10757.0
10/6/20,11481.0
10/7/20,10981.0
10/8/20,11345.0
10/9/20,11969.0
10/10/20,12673.0
10/11/20,13442.0
10/12/20,13406.0
10/13/20,13690.0
10/14/20,14041.0
10/15/20,13556.0
10/16/20,14937.0
10/17/20,14703.0
10/18/20,14804.0
10/19/20,15843.0
10/20/20,16108.0
10/21/20,15444.0
10/22/20,15704.0
10/23/20,17077.0
10/24/20,16260.0
10/25/20,16392.0
10/26/20,17148.0
10/27/20,16342.0
10/28/20,15886.0
10/29/20,17418.0
10/30/20,17987.0
10/31/20,17834.0
11/1/20,18381.0
11/2/20,18017.0
11/3/20,18431.0
11/4/20,19483.0
11/5/20,19116.0
11/6/20,20368.0
11/7/20,20109.0
11/8/20,20248.0
11/9/20,21577.0
11/10/20,20765.0
11/11/20,19583.0
11/12/20,21333.0
11/13/20,21717.0
11/14/20,22441.0
11/15/20,22313.0
11/16/20,22562.0
11/17/20,22201.0
11/18/20,20717.0
11/19/20,23337.0
11/20/20,24059.0
11/21/20,24538.0
11/22/20,24295.0
11/23/20,24891.0
11/24/20,24087.0
11/25/20,23393.0
11/26/20,25195.0
11/27/20,27267.0
11/28/20,26809.0
11/29/20,26390.0
11/30/20,26046.0
12/1/20,26126.0
12/2/20,25043.0
12/3/20,27829.0
12/4/20,27078.0
12/5/20,28450.0
12/6/20,28701.0
12/7/20,27798.0
12/8/20,25752.0
12/9/20,25838.0
12/10/20,27562.0
12/11/20,28206.0
12/12/20,27729.0
12/13/20,27651.0
12/14/20,26902.0
12/15/20,26265.0
12/16/20,26074.0
12/17/20,27787.0
12/18/20,28116.0
12/19/20,27772.0
12/20/20,28510.0
12/21/20,28917.0
12/22/20,28340.0
12/23/20,26814.0
12/24/20,29499.0
12/25/20,28595.0
12/26/20,28833.0
12/27/20,27849.0
12/28/20,27363.0
12/29/20,26588.0
12/30/20,26095.0
12/31/20,27329.0
1/1/21,26613.0
1/2/21,25938.0
1/3/21,23845.0
1/4/21,23015.0
1/5/21,23955.0
1/6/21,23902.0
1/7/21,23218.0
1/8/21,23330.0
1/9/21,23012.0
1/10/21,22540.0
1/11/21,23018.0
1/12/21,22657.0
1/13/21,22544.0
1/14/21,24303.0
1/15/21,24294.0
1/16/21,23670.0
1/17/21,23178.0
1/18/21,22509.0
1/19/21,21442.0
1/20/21,20806.0
1/21/21,21544.0
1/22/21,21182.0
1/23/21,20585.0
1/24/21,20800.0
1/25/21,18999.0
1/26/21,17982.0
1/27/21,17464.0
1/28/21,18856.0
1/29/21,18966.0
1/30/21,18751.0
1/31/21,18083.0
2/1/21,17391.0
2/2/21,16406.0
2/3/21,16222.0
2/4/21,16463.0
2/5/21,16444.0
2/6/21,16379.0
2/7/21,15808.0
2/8/21,15701.0
2/9/21,14808.0
2/10/21,14258.0
2/11/21,14803.0
2/12/21,14867.0
2/13/21,14640.0
2/14/21,13968.0
2/15/21,13999.0
2/16/21,13030.0
2/17/21,12629.0
2/18/21,13243.0
2/19/21,13242.0
2/20/21,12775.0
2/21/21,12568.0
2/22/21,12455.0
2/23/21,11679.0
2/24/21,11609.0
2/25/21,11067.0
2/26/21,10955.0
2/27/21,11409.0
2/28/21,11234.0
3/1/21,11450.0
3/2/21,10441.0
3/3/21,10416.0
3/4/21,11263.0
3/5/21,10906.0
3/6/21,10909.0
3/7/21,10478.0
3/8/21,10145.0
3/9/21,9342.0
3/10/21,8976.0
3/11/21,9167.0
3/12/21,9695.0
3/13/21,9808.0
3/14/21,9985.0
3/15/21,9347.0
3/16/21,9305.0
3/17/21,8910.0
3/18/21,9713.0
3/19/21,9612.0
3/20/21,9548.0
3/21/21,9215.0
3/22/21,9195.0
3/23/21,8369.0
3/24/21,8769.0
3/25/21,9128.0
3/26/21,9073.0
3/27/21,8783.0
3/28/21,8979.0
3/29/21,8589.0
3/30/21,8162.0
3/31/21,8156.0
4/1/21,9057.0
4/2/21,8682.0
4/3/21,8906.0
4/4/21,8697.0
4/5/21,8525.0
4/6/21,8206.0
4/7/21,8174.0
4/8/21,8545.0
4/9/21,9027.0
4/10/21,8580.0
4/11/21,8576.0
4/12/21,8191.0
4/13/21,8044.0
4/14/21,8202.0
4/15/21,8818.0
4/16/21,8872.0
4/17/21,9201.0
4/18/21,8507.0
4/19/21,8465.0
4/20/21,8044.0
4/21/21,8146.0
4/22/21,8874.0
4/23/21,8717.0
4/24/21,8698.0
4/25/21,8652.0
4/26/21,8681.0
4/27/21,7931.0
4/28/21,7729.0
4/29/21,9161.0
4/30/21,8613.0
5/1/21,9147.0
5/2/21,8574.0
5/3/21,8368.0
5/4/21,7653.0
5/5/21,7857.0
5/6/21,7518.0
5/7/21,8261.0
5/8/21,8198.0
5/9/21,8290.0
5/10/21,8338.0
5/11/21,7989.0
5/12/21,8096.0
5/13/21,8259.0
5/14/21,9338.0
5/15/21,8667.0
5/16/21,8426.0
5/17/21,9204.0
5/18/21,8057.0
5/19/21,7799.0
5/20/21,9112.0
5/21/21,8811.0
5/22/21,8585.0
5/23/21,8827.0
5/24/21,8283.0
5/25/21,7762.0
