,Spain
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,1.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,1.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,4.0
2/26/20,7.0
2/27/20,2.0
2/28/20,17.0
2/29/20,13.0
3/1/20,39.0
3/2/20,36.0
3/3/20,45.0
3/4/20,57.0
3/5/20,37.0
3/6/20,141.0
3/7/20,100.0
3/8/20,173.0
3/9/20,400.0
3/10/20,622.0
3/11/20,582.0
3/12/20,0.0
3/13/20,2955.0
3/14/20,1159.0
3/15/20,1407.0
3/16/20,2144.0
3/17/20,1806.0
3/18/20,2162.0
3/19/20,4053.0
3/20/20,2447.0
3/21/20,4964.0
3/22/20,3394.0
3/23/20,6368.0
3/24/20,4749.0
3/25/20,9630.0
3/26/20,8271.0
3/27/20,7933.0
3/28/20,7516.0
3/29/20,6875.0
3/30/20,7846.0
3/31/20,7967.0
4/1/20,8195.0
4/2/20,7947.0
4/3/20,7134.0
4/4/20,6969.0
4/5/20,5478.0
4/6/20,5029.0
4/7/20,5267.0
4/8/20,6278.0
4/9/20,5002.0
4/10/20,5051.0
4/11/20,4754.0
4/12/20,3804.0
4/13/20,3268.0
4/14/20,2442.0
4/15/20,5103.0
4/16/20,7304.0
4/17/20,5891.0
4/18/20,887.0
4/19/20,6948.0
4/20/20,1536.0
4/21/20,3968.0
4/22/20,4211.0
4/23/20,4635.0
4/24/20,-10034.0
4/25/20,2915.0
4/26/20,1729.0
4/27/20,1831.0
4/28/20,1308.0
4/29/20,2144.0
4/30/20,518.0
5/1/20,1781.0
5/2/20,1366.0
5/3/20,884.0
5/4/20,545.0
5/5/20,1318.0
5/6/20,996.0
5/7/20,1122.0
5/8/20,1410.0
5/9/20,721.0
5/10/20,772.0
5/11/20,3086.0
5/12/20,594.0
5/13/20,661.0
5/14/20,849.0
5/15/20,643.0
5/16/20,515.0
5/17/20,0.0
5/18/20,908.0
5/19/20,431.0
5/20/20,518.0
5/21/20,482.0
5/22/20,1787.0
5/23/20,466.0
5/24/20,482.0
5/25/20,-372.0
5/26/20,859.0
5/27/20,0.0
5/28/20,1647.0
5/29/20,658.0
5/30/20,664.0
5/31/20,251.0
6/1/20,159.0
6/2/20,294.0
6/3/20,394.0
6/4/20,334.0
6/5/20,318.0
6/6/20,332.0
6/7/20,240.0
6/8/20,167.0
6/9/20,249.0
6/10/20,314.0
6/11/20,427.0
6/12/20,502.0
6/13/20,396.0
6/14/20,323.0
6/15/20,181.0
6/16/20,219.0
6/17/20,355.0
6/18/20,585.0
6/19/20,307.0
6/20/20,363.0
6/21/20,334.0
6/22/20,232.0
6/23/20,248.0
6/24/20,334.0
6/25/20,400.0
6/26/20,419.0
6/27/20,564.0
6/28/20,301.0
6/29/20,200.0
6/30/20,301.0
7/1/20,388.0
7/2/20,444.0
7/3/20,442.0
7/4/20,0.0
7/5/20,0.0
7/6/20,1244.0
7/7/20,341.0
7/8/20,383.0
7/9/20,543.0
7/10/20,852.0
7/11/20,0.0
7/12/20,0.0
7/13/20,2045.0
7/14/20,666.0
7/15/20,875.0
7/16/20,1361.0
7/17/20,1400.0
7/18/20,0.0
7/19/20,0.0
7/20/20,4581.0
7/21/20,1358.0
7/22/20,1357.0
7/23/20,2615.0
7/24/20,2255.0
7/25/20,0.0
7/26/20,0.0
7/27/20,6361.0
7/28/20,1828.0
7/29/20,2031.0
7/30/20,2789.0
7/31/20,3092.0
8/1/20,0.0
8/2/20,0.0
8/3/20,8532.0
8/4/20,5760.0
8/5/20,2953.0
8/6/20,4088.0
8/7/20,4507.0
8/8/20,0.0
8/9/20,0.0
8/10/20,8618.0
8/11/20,3632.0
8/12/20,3172.0
8/13/20,7550.0
8/14/20,5479.0
8/15/20,0.0
8/16/20,0.0
8/17/20,16269.0
8/18/20,5114.0
8/19/20,6671.0
8/20/20,7039.0
8/21/20,8148.0
8/22/20,0.0
8/23/20,0.0
8/24/20,19382.0
8/25/20,7117.0
8/26/20,7296.0
8/27/20,9658.0
8/28/20,9779.0
8/29/20,0.0
8/30/20,0.0
8/31/20,23572.0
9/1/20,8115.0
9/2/20,8581.0
9/3/20,8959.0
9/4/20,10476.0
9/5/20,0.0
9/6/20,0.0
9/7/20,26560.0
9/8/20,8964.0
9/9/20,8866.0
9/10/20,10764.0
9/11/20,12183.0
9/12/20,0.0
9/13/20,0.0
9/14/20,27404.0
9/15/20,9437.0
9/16/20,11193.0
9/17/20,11291.0
9/18/20,14389.0
9/19/20,0.0
9/20/20,0.0
9/21/20,31428.0
9/22/20,10799.0
9/23/20,11289.0
9/24/20,10653.0
9/25/20,12272.0
9/26/20,0.0
9/27/20,0.0
9/28/20,31785.0
9/29/20,0.0
9/30/20,20922.0
10/1/20,9419.0
10/2/20,11325.0
10/3/20,0.0
10/4/20,0.0
10/5/20,23480.0
10/6/20,11998.0
10/7/20,10491.0
10/8/20,12423.0
10/9/20,12788.0
10/10/20,0.0
10/11/20,0.0
10/12/20,27856.0
10/13/20,7118.0
10/14/20,11970.0
10/15/20,13318.0
10/16/20,15186.0
10/17/20,0.0
10/18/20,0.0
10/19/20,37889.0
10/20/20,13873.0
10/21/20,16973.0
10/22/20,20986.0
10/23/20,19851.0
10/24/20,0.0
10/25/20,0.0
10/26/20,52188.0
10/27/20,18418.0
10/28/20,19765.0
10/29/20,23580.0
10/30/20,25595.0
10/31/20,0.0
11/1/20,0.0
11/2/20,55019.0
11/3/20,18669.0
11/4/20,25042.0
11/5/20,21908.0
11/6/20,22516.0
11/7/20,0.0
11/8/20,0.0
11/9/20,52386.0
11/10/20,0.0
11/11/20,36491.0
11/12/20,19511.0
11/13/20,21371.0
11/14/20,0.0
11/15/20,0.0
11/16/20,38273.0
11/17/20,13159.0
11/18/20,15318.0
11/19/20,16233.0
11/20/20,15156.0
11/21/20,0.0
11/22/20,0.0
11/23/20,25886.0
11/24/20,12228.0
11/25/20,10222.0
11/26/20,12289.0
11/27/20,10853.0
11/28/20,0.0
11/29/20,0.0
11/30/20,19979.0
12/1/20,8257.0
12/2/20,9331.0
12/3/20,10127.0
12/4/20,8745.0
12/5/20,0.0
12/6/20,0.0
12/7/20,17681.0
12/8/20,0.0
12/9/20,9773.0
12/10/20,7955.0
12/11/20,10519.0
12/12/20,0.0
12/13/20,0.0
12/14/20,21309.0
12/15/20,10328.0
12/16/20,11078.0
12/17/20,12131.0
12/18/20,11815.0
12/19/20,0.0
12/20/20,0.0
12/21/20,22013.0
12/22/20,10654.0
12/23/20,12386.0
12/24/20,12662.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,24462.0
12/29/20,14089.0
12/30/20,16716.0
12/31/20,18047.0
1/1/21,0.0
1/2/21,0.0
1/3/21,0.0
1/4/21,30579.0
1/5/21,23700.0
1/6/21,0.0
1/7/21,42360.0
1/8/21,25456.0
1/9/21,0.0
1/10/21,0.0
1/11/21,61422.0
1/12/21,25438.0
1/13/21,38869.0
1/14/21,35878.0
1/15/21,40197.0
1/16/21,0.0
1/17/21,0.0
1/18/21,84287.0
1/19/21,34291.0
1/20/21,41576.0
1/21/21,44357.0
1/22/21,42885.0
1/23/21,0.0
1/24/21,0.0
1/25/21,93822.0
1/26/21,36435.0
1/27/21,40285.0
1/28/21,34899.0
1/29/21,38118.0
1/30/21,0.0
1/31/21,0.0
2/1/21,79686.0
2/2/21,29064.0
2/3/21,31596.0
2/4/21,29960.0
2/5/21,28565.0
2/6/21,0.0
2/7/21,0.0
2/8/21,47095.0
2/9/21,16402.0
2/10/21,18114.0
2/11/21,17853.0
2/12/21,14581.0
2/13/21,0.0
2/14/21,0.0
2/15/21,30251.0
2/16/21,10057.0
2/17/21,10829.0
2/18/21,14515.0
2/19/21,11435.0
2/20/21,0.0
2/21/21,0.0
2/22/21,20849.0
2/23/21,7461.0
2/24/21,9212.0
2/25/21,9568.0
2/26/21,8341.0
2/27/21,0.0
2/28/21,0.0
3/1/21,15978.0
3/2/21,-74347.0
3/3/21,6137.0
3/4/21,6037.0
3/5/21,6654.0
3/6/21,0.0
3/7/21,0.0
3/8/21,11958.0
3/9/21,4012.0
3/10/21,7119.0
3/11/21,6255.0
3/12/21,5348.0
3/13/21,0.0
3/14/21,0.0
3/15/21,11358.0
3/16/21,4962.0
3/17/21,6092.0
3/18/21,6216.0
3/19/21,0.0
3/20/21,0.0
3/21/21,0.0
3/22/21,16471.0
3/23/21,5516.0
3/24/21,0.0
3/25/21,13419.0
3/26/21,7586.0
3/27/21,0.0
3/28/21,0.0
3/29/21,15501.0
3/30/21,4994.0
3/31/21,8534.0
4/1/21,7041.0
4/2/21,0.0
4/3/21,9571.0
4/4/21,0.0
4/5/21,10360.0
4/6/21,6623.0
4/7/21,8788.0
4/8/21,9901.0
4/9/21,10875.0
4/10/21,0.0
4/11/21,0.0
4/12/21,22744.0
4/13/21,6292.0
4/14/21,10474.0
4/15/21,9663.0
4/16/21,10598.0
4/17/21,0.0
4/18/21,0.0
4/19/21,21071.0
4/20/21,0.0
4/21/21,17718.0
4/22/21,10814.0
4/23/21,11731.0
4/24/21,0.0
4/25/21,0.0
4/26/21,19852.0
4/27/21,7665.0
4/28/21,8665.0
4/29/21,10143.0
4/30/21,9135.0
5/1/21,0.0
5/2/21,0.0
5/3/21,16353.0
5/4/21,4515.0
5/5/21,6317.0
5/6/21,7960.0
5/7/21,8186.0
5/8/21,0.0
5/9/21,0.0
5/10/21,13984.0
5/11/21,4941.0
5/12/21,6418.0
5/13/21,5701.0
5/14/21,6347.0
5/15/21,0.0
5/16/21,0.0
5/17/21,11061.0
5/18/21,3988.0
5/19/21,6080.0
5/20/21,5733.0
5/21/21,4792.0
5/22/21,0.0
5/23/21,0.0
5/24/21,11067.0
5/25/21,5359.0
5/26/21,5007.0
5/27/21,5290.0
5/28/21,5482.0
5/29/21,0.0
5/30/21,0.0
5/31/21,9732.0
6/1/21,4388.0
6/2/21,4984.0
6/3/21,5250.0
6/4/21,4969.0
6/5/21,0.0
6/6/21,0.0
6/7/21,9542.0
