,US
1/22/20,0.0
1/23/20,0.0
1/24/20,1.0
1/25/20,0.0
1/26/20,3.0
1/27/20,0.0
1/28/20,0.0
1/29/20,1.0
1/30/20,0.0
1/31/20,2.0
2/1/20,0.0
2/2/20,0.0
2/3/20,3.0
2/4/20,0.0
2/5/20,0.0
2/6/20,1.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,1.0
2/12/20,0.0
2/13/20,1.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,2.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,1.0
2/28/20,0.0
2/29/20,8.0
3/1/20,7.0
3/2/20,23.0
3/3/20,19.0
3/4/20,33.0
3/5/20,77.0
3/6/20,53.0
3/7/20,166.0
3/8/20,116.0
3/9/20,75.0
3/10/20,188.0
3/11/20,365.0
3/12/20,439.0
3/13/20,633.0
3/14/20,759.0
3/15/20,234.0
3/16/20,1467.0
3/17/20,1833.0
3/18/20,2657.0
3/19/20,4494.0
3/20/20,6367.0
3/21/20,5995.0
3/22/20,8919.0
3/23/20,11152.0
3/24/20,10618.0
3/25/20,12127.0
3/26/20,17821.0
3/27/20,18591.0
3/28/20,22164.0
3/29/20,16127.0
3/30/20,22154.0
3/31/20,26381.0
4/1/20,31175.0
4/2/20,32276.0
4/3/20,32401.0
4/4/20,31845.0
4/5/20,29240.0
4/6/20,31782.0
4/7/20,30036.0
4/8/20,31063.0
4/9/20,35610.0
4/10/20,34283.0
4/11/20,28924.0
4/12/20,26308.0
4/13/20,27143.0
4/14/20,28328.0
4/15/20,25897.0
4/16/20,29638.0
4/17/20,33107.0
4/18/20,27329.0
4/19/20,25422.0
4/20/20,30084.0
4/21/20,26075.0
4/22/20,29881.0
4/23/20,31965.0
4/24/20,31965.0
4/25/20,30914.0
4/26/20,25971.0
4/27/20,24650.0
4/28/20,24573.0
4/29/20,26852.0
4/30/20,29702.0
5/1/20,34892.0
5/2/20,26764.0
5/3/20,23733.0
5/4/20,23802.0
5/5/20,24019.0
5/6/20,24482.0
5/7/20,27739.0
5/8/20,27183.0
5/9/20,24454.0
5/10/20,18746.0
5/11/20,19077.0
5/12/20,23382.0
5/13/20,20015.0
5/14/20,25890.0
5/15/20,24851.0
5/16/20,24050.0
5/17/20,18729.0
5/18/20,22308.0
5/19/20,20503.0
5/20/20,22826.0
5/21/20,25152.0
5/22/20,23828.0
5/23/20,20189.0
5/24/20,20174.0
5/25/20,19094.0
5/26/20,18726.0
5/27/20,18763.0
5/28/20,21267.0
5/29/20,25082.0
5/30/20,23080.0
5/31/20,18919.0
6/1/20,17840.0
6/2/20,20090.0
6/3/20,19156.0
6/4/20,27934.0
6/5/20,26439.0
6/6/20,20269.0
6/7/20,17826.0
6/8/20,16899.0
6/9/20,20321.0
6/10/20,21718.0
6/11/20,22278.0
6/12/20,25558.0
6/13/20,24157.0
6/14/20,18901.0
6/15/20,20999.0
6/16/20,24549.0
6/17/20,27050.0
6/18/20,28227.0
6/19/20,31054.0
6/20/20,31826.0
6/21/20,25836.0
6/22/20,29801.0
6/23/20,38729.0
6/24/20,36251.0
6/25/20,39299.0
6/26/20,49046.0
6/27/20,40754.0
6/28/20,42925.0
6/29/20,41296.0
6/30/20,49823.0
7/1/20,49122.0
7/2/20,54943.0
7/3/20,51504.0
7/4/20,45945.0
7/5/20,53728.0
7/6/20,43165.0
7/7/20,57230.0
7/8/20,60306.0
7/9/20,59656.0
7/10/20,68859.0
7/11/20,60439.0
7/12/20,60132.0
7/13/20,59364.0
7/14/20,65662.0
7/15/20,66026.0
7/16/20,70814.0
7/17/20,66472.0
7/18/20,64322.0
7/19/20,58932.0
7/20/20,60663.0
7/21/20,68194.0
7/22/20,67545.0
7/23/20,67886.0
7/24/20,75147.0
7/25/20,64200.0
7/26/20,55839.0
7/27/20,59724.0
7/28/20,64830.0
7/29/20,64128.0
7/30/20,69241.0
7/31/20,64576.0
8/1/20,57578.0
8/2/20,47109.0
8/3/20,41684.0
8/4/20,61657.0
8/5/20,54349.0
8/6/20,60180.0
8/7/20,60587.0
8/8/20,63933.0
8/9/20,54267.0
8/10/20,51617.0
8/11/20,56955.0
8/12/20,55244.0
8/13/20,51657.0
8/14/20,70125.0
8/15/20,52396.0
8/16/20,34662.0
8/17/20,37849.0
8/18/20,44903.0
8/19/20,45884.0
8/20/20,45128.0
8/21/20,47591.0
8/22/20,45673.0
8/23/20,31911.0
8/24/20,33923.0
8/25/20,42673.0
8/26/20,42073.0
8/27/20,50518.0
8/28/20,46471.0
8/29/20,43102.0
8/30/20,34131.0
8/31/20,33362.0
9/1/20,41978.0
9/2/20,39961.0
9/3/20,45141.0
9/4/20,48334.0
9/5/20,43623.0
9/6/20,29119.0
9/7/20,24563.0
9/8/20,26744.0
9/9/20,33638.0
9/10/20,39448.0
9/11/20,44622.0
9/12/20,45583.0
9/13/20,40291.0
9/14/20,32565.0
9/15/20,37178.0
9/16/20,38292.0
9/17/20,45319.0
9/18/20,50186.0
9/19/20,45777.0
9/20/20,41610.0
9/21/20,32043.0
9/22/20,38271.0
9/23/20,41119.0
9/24/20,48883.0
9/25/20,47137.0
9/26/20,43547.0
9/27/20,33779.0
9/28/20,37739.0
9/29/20,42034.0
9/30/20,38632.0
10/1/20,46244.0
10/2/20,53443.0
10/3/20,49280.0
10/4/20,33131.0
10/5/20,37358.0
10/6/20,44545.0
10/7/20,49137.0
10/8/20,57890.0
10/9/20,55080.0
10/10/20,55367.0
10/11/20,46900.0
10/12/20,42080.0
10/13/20,50123.0
10/14/20,58442.0
10/15/20,63537.0
10/16/20,70174.0
10/17/20,54832.0
10/18/20,52170.0
10/19/20,67882.0
10/20/20,61736.0
10/21/20,60707.0
10/22/20,79621.0
10/23/20,81660.0
10/24/20,78376.0
10/25/20,60975.0
10/26/20,64564.0
10/27/20,77223.0
10/28/20,86476.0
10/29/20,91292.0
10/30/20,99849.0
10/31/20,87343.0
11/1/20,77830.0
11/2/20,81807.0
11/3/20,124766.0
11/4/20,100262.0
11/5/20,128081.0
11/6/20,127057.0
11/7/20,127065.0
11/8/20,119674.0
11/9/20,116956.0
11/10/20,136555.0
11/11/20,147683.0
11/12/20,158796.0
11/13/20,179518.0
11/14/20,164050.0
11/15/20,139716.0
11/16/20,153087.0
11/17/20,164647.0
11/18/20,171971.0
11/19/20,192301.0
11/20/20,201666.0
11/21/20,179818.0
11/22/20,146587.0
11/23/20,181511.0
11/24/20,173561.0
11/25/20,180212.0
11/26/20,117249.0
11/27/20,214636.0
11/28/20,168223.0
11/29/20,140345.0
11/30/20,154913.0
12/1/20,197115.0
12/2/20,196163.0
12/3/20,220226.0
12/4/20,235373.0
12/5/20,222007.0
12/6/20,179327.0
12/7/20,195461.0
12/8/20,227054.0
12/9/20,216009.0
12/10/20,236941.0
12/11/20,238905.0
12/12/20,224534.0
12/13/20,191597.0
12/14/20,209836.0
12/15/20,226316.0
12/16/20,234805.0
12/17/20,240250.0
12/18/20,247950.0
12/19/20,205851.0
12/20/20,187195.0
12/21/20,196861.0
12/22/20,205934.0
12/23/20,221438.0
12/24/20,212950.0
12/25/20,127174.0
12/26/20,217439.0
12/27/20,135958.0
12/28/20,173301.0
12/29/20,205971.0
12/30/20,218296.0
12/31/20,315084.0
1/1/21,178904.0
1/2/21,272283.0
1/3/21,203395.0
1/4/21,185513.0
1/5/21,232863.0
1/6/21,259764.0
1/7/21,286249.0
1/8/21,304080.0
1/9/21,264751.0
1/10/21,210847.0
1/11/21,203970.0
1/12/21,221818.0
1/13/21,229343.0
1/14/21,235577.0
1/15/21,245001.0
1/16/21,217689.0
1/17/21,176562.0
1/18/21,140832.0
1/19/21,156906.0
1/20/21,187390.0
1/21/21,192556.0
1/22/21,191776.0
1/23/21,178178.0
1/24/21,140146.0
1/25/21,129606.0
1/26/21,151009.0
1/27/21,155456.0
1/28/21,166764.0
1/29/21,163739.0
1/30/21,150939.0
1/31/21,112856.0
2/1/21,125320.0
2/2/21,117030.0
2/3/21,124370.0
2/4/21,125033.0
2/5/21,131110.0
2/6/21,116858.0
2/7/21,89429.0
2/8/21,82805.0
2/9/21,95379.0
2/10/21,95280.0
2/11/21,106773.0
2/12/21,100583.0
2/13/21,90760.0
2/14/21,68308.0
2/15/21,55450.0
2/16/21,59223.0
2/17/21,68845.0
2/18/21,72579.0
2/19/21,75153.0
2/20/21,73782.0
2/21/21,55265.0
2/22/21,55488.0
2/23/21,73860.0
2/24/21,75028.0
2/25/21,77278.0
2/26/21,75420.0
2/27/21,71287.0
2/28/21,51761.0
3/1/21,50442.0
3/2/21,58417.0
3/3/21,67051.0
3/4/21,68946.0
3/5/21,67879.0
3/6/21,61031.0
3/7/21,41609.0
3/8/21,44097.0
3/9/21,55504.0
3/10/21,57775.0
3/11/21,61791.0
3/12/21,62604.0
3/13/21,56820.0
3/14/21,39276.0
3/15/21,51034.0
3/16/21,54065.0
3/17/21,59274.0
3/18/21,62389.0
3/19/21,61633.0
3/20/21,58867.0
3/21/21,35378.0
3/22/21,47428.0
3/23/21,52859.0
3/24/21,87757.0
3/25/21,67628.0
3/26/21,76371.0
3/27/21,64055.0
3/28/21,46320.0
3/29/21,65872.0
3/30/21,61690.0
3/31/21,69532.0
4/1/21,76857.0
4/2/21,74025.0
4/3/21,64880.0
4/4/21,37922.0
4/5/21,67088.0
4/6/21,62826.0
4/7/21,75777.0
4/8/21,80066.0
4/9/21,84753.0
4/10/21,70535.0
4/11/21,47456.0
4/12/21,62183.0
4/13/21,80841.0
4/14/21,75604.0
4/15/21,73982.0
4/16/21,83473.0
4/17/21,55488.0
4/18/21,43829.0
4/19/21,58547.0
4/20/21,62440.0
4/21/21,64347.0
4/22/21,66719.0
4/23/21,62895.0
4/24/21,54972.0
4/25/21,34769.0
4/26/21,42287.0
4/27/21,52283.0
4/28/21,55186.0
4/29/21,58825.0
4/30/21,58103.0
5/1/21,48776.0
5/2/21,30556.0
5/3/21,44622.0
5/4/21,42895.0
5/5/21,46043.0
5/6/21,46179.0
5/7/21,48415.0
5/8/21,35655.0
5/9/21,22870.0
5/10/21,32376.0
5/11/21,35478.0
5/12/21,36151.0
5/13/21,38736.0
5/14/21,42217.0
5/15/21,30758.0
5/16/21,17692.0
5/17/21,25241.0
5/18/21,28917.0
5/19/21,29604.0
5/20/21,30217.0
5/21/21,28825.0
5/22/21,21213.0
5/23/21,13784.0
