,United Kingdom
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,2.0
2/1/20,0.0
2/2/20,0.0
2/3/20,6.0
2/4/20,0.0
2/5/20,1.0
2/6/20,0.0
2/7/20,0.0
2/8/20,4.0
2/9/20,1.0
2/10/20,0.0
2/11/20,1.0
2/12/20,1.0
2/13/20,1.0
2/14/20,1.0
2/15/20,0.0
2/16/20,0.0
2/17/20,1.0
2/18/20,0.0
2/19/20,1.0
2/20/20,2.0
2/21/20,1.0
2/22/20,0.0
2/23/20,5.0
2/24/20,2.0
2/25/20,4.0
2/26/20,3.0
2/27/20,7.0
2/28/20,12.0
2/29/20,5.0
3/1/20,33.0
3/2/20,40.0
3/3/20,55.0
3/4/20,56.0
3/5/20,49.0
3/6/20,79.0
3/7/20,55.0
3/8/20,54.0
3/9/20,147.0
3/10/20,258.0
3/11/20,411.0
3/12/20,489.0
3/13/20,479.0
3/14/20,364.0
3/15/20,442.0
3/16/20,612.0
3/17/20,768.0
3/18/20,999.0
3/19/20,1055.0
3/20/20,1254.0
3/21/20,1197.0
3/22/20,1376.0
3/23/20,2335.0
3/24/20,2371.0
3/25/20,2693.0
3/26/20,3084.0
3/27/20,3201.0
3/28/20,2822.0
3/29/20,2857.0
3/30/20,4273.0
3/31/20,4515.0
4/1/20,4914.0
4/2/20,4865.0
4/3/20,4915.0
4/4/20,4020.0
4/5/20,3594.0
4/6/20,5275.0
4/7/20,5450.0
4/8/20,5129.0
4/9/20,4852.0
4/10/20,4315.0
4/11/20,3577.0
4/12/20,3495.0
4/13/20,4183.0
4/14/20,4325.0
4/15/20,5065.0
4/16/20,5298.0
4/17/20,4965.0
4/18/20,4716.0
4/19/20,3852.0
4/20/20,4858.0
4/21/20,4760.0
4/22/20,5490.0
4/23/20,5143.0
4/24/20,4973.0
4/25/20,3748.0
4/26/20,3468.0
4/27/20,4702.0
4/28/20,4721.0
4/29/20,5435.0
4/30/20,4956.0
5/1/20,4727.0
5/2/20,3221.0
5/3/20,2974.0
5/4/20,3378.0
5/5/20,3684.0
5/6/20,3831.0
5/7/20,3767.0
5/8/20,3049.0
5/9/20,2150.0
5/10/20,2321.0
5/11/20,3583.0
5/12/20,3389.0
5/13/20,3298.0
5/14/20,2609.0
5/15/20,2517.0
5/16/20,2065.0
5/17/20,1826.0
5/18/20,2574.0
5/19/20,3041.0
5/20/20,2706.0
5/21/20,2542.0
5/22/20,2030.0
5/23/20,1507.0
5/24/20,1348.0
5/25/20,1607.0
5/26/20,1650.0
5/27/20,1802.0
5/28/20,1734.0
5/29/20,1504.0
5/30/20,1099.0
5/31/20,1069.0
6/1/20,1434.0
6/2/20,1467.0
6/3/20,1342.0
6/4/20,1234.0
6/5/20,1105.0
6/6/20,791.0
6/7/20,717.0
6/8/20,1086.0
6/9/20,1153.0
6/10/20,1182.0
6/11/20,1001.0
6/12/20,1053.0
6/13/20,887.0
6/14/20,807.0
6/15/20,1026.0
6/16/20,1077.0
6/17/20,997.0
6/18/20,1020.0
6/19/20,980.0
6/20/20,666.0
6/21/20,622.0
6/22/20,892.0
6/23/20,882.0
6/24/20,774.0
6/25/20,697.0
6/26/20,638.0
6/27/20,633.0
6/28/20,395.0
6/29/20,604.0
6/30/20,403.0
7/1/20,60.0
7/2/20,4.0
7/3/20,502.0
7/4/20,624.0
7/5/20,516.0
7/6/20,352.0
7/7/20,581.0
7/8/20,630.0
7/9/20,642.0
7/10/20,512.0
7/11/20,820.0
7/12/20,650.0
7/13/20,530.0
7/14/20,1240.0
7/15/20,538.0
7/16/20,641.0
7/17/20,687.0
7/18/20,827.0
7/19/20,726.0
7/20/20,580.0
7/21/20,445.0
7/22/20,560.0
7/23/20,769.0
7/24/20,768.0
7/25/20,767.0
7/26/20,745.0
7/27/20,685.0
7/28/20,547.0
7/29/20,797.0
7/30/20,846.0
7/31/20,880.0
8/1/20,761.0
8/2/20,743.0
8/3/20,938.0
8/4/20,670.0
8/5/20,891.0
8/6/20,950.0
8/7/20,871.0
8/8/20,758.0
8/9/20,1062.0
8/10/20,816.0
8/11/20,1148.0
8/12/20,1009.0
8/13/20,1129.0
8/14/20,1440.0
8/15/20,1012.0
8/16/20,1105.0
8/17/20,713.0
8/18/20,1089.0
8/19/20,812.0
8/20/20,1182.0
8/21/20,1033.0
8/22/20,1288.0
8/23/20,1041.0
8/24/20,972.0
8/25/20,1184.0
8/26/20,1048.0
8/27/20,1522.0
8/28/20,1276.0
8/29/20,1108.0
8/30/20,1715.0
8/31/20,1406.0
9/1/20,1295.0
9/2/20,1508.0
9/3/20,1735.0
9/4/20,1940.0
9/5/20,1813.0
9/6/20,2988.0
9/7/20,2948.0
9/8/20,2460.0
9/9/20,2659.0
9/10/20,2919.0
9/11/20,3539.0
9/12/20,3497.0
9/13/20,3330.0
9/14/20,2621.0
9/15/20,3103.0
9/16/20,3991.0
9/17/20,3395.0
9/18/20,4322.0
9/19/20,4422.0
9/20/20,3899.0
9/21/20,4368.0
9/22/20,4926.0
9/23/20,6178.0
9/24/20,6634.0
9/25/20,6873.0
9/26/20,6041.0
9/27/20,5692.0
9/28/20,4044.0
9/29/20,7143.0
9/30/20,7108.0
10/1/20,6914.0
10/2/20,6968.0
10/3/20,12871.0
10/4/20,22961.0
10/5/20,12593.0
10/6/20,14542.0
10/7/20,14162.0
10/8/20,17540.0
10/9/20,13864.0
10/10/20,15165.0
10/11/20,12872.0
10/12/20,13972.0
10/13/20,17232.0
10/14/20,19724.0
10/15/20,18978.0
10/16/20,15635.0
10/17/20,16171.0
10/18/20,16981.0
10/19/20,18803.0
10/20/20,21330.0
10/21/20,26687.0
10/22/20,21238.0
10/23/20,20531.0
10/24/20,23012.0
10/25/20,19790.0
10/26/20,20890.0
10/27/20,22885.0
10/28/20,24700.0
10/29/20,23065.0
10/30/20,24405.0
10/31/20,21915.0
11/1/20,23254.0
11/2/20,18950.0
11/3/20,20018.0
11/4/20,25177.0
11/5/20,24138.0
11/6/20,23287.0
11/7/20,24957.0
11/8/20,20572.0
11/9/20,21350.0
11/10/20,20412.0
11/11/20,22950.0
11/12/20,33470.0
11/13/20,27301.0
11/14/20,26860.0
11/15/20,24962.0
11/16/20,21363.0
11/17/20,20051.0
11/18/20,19609.0
11/19/20,22915.0
11/20/20,20252.0
11/21/20,19875.0
11/22/20,18662.0
11/23/20,15450.0
11/24/20,11299.0
11/25/20,18213.0
11/26/20,17555.0
11/27/20,14739.0
11/28/20,15871.0
11/29/20,12155.0
11/30/20,12330.0
12/1/20,13429.0
12/2/20,16170.0
12/3/20,14878.0
12/4/20,16298.0
12/5/20,15539.0
12/6/20,17271.0
12/7/20,14718.0
12/8/20,12281.0
12/9/20,16578.0
12/10/20,20964.0
12/11/20,21672.0
12/12/20,21501.0
12/13/20,18447.0
12/14/20,20263.0
12/15/20,18450.0
12/16/20,25161.0
12/17/20,35383.0
12/18/20,28507.0
12/19/20,27052.0
12/20/20,35928.0
12/21/20,33364.0
12/22/20,36803.0
12/23/20,39237.0
12/24/20,39036.0
12/25/20,32725.0
12/26/20,34693.0
12/27/20,32340.0
12/28/20,41385.0
12/29/20,53135.0
12/30/20,50023.0
12/31/20,55892.0
1/1/21,53285.0
1/2/21,57724.0
1/3/21,54990.0
1/4/21,58784.0
1/5/21,60916.0
1/6/21,62322.0
1/7/21,52618.0
1/8/21,68053.0
1/9/21,59937.0
1/10/21,54940.0
1/11/21,46169.0
1/12/21,45533.0
1/13/21,47525.0
1/14/21,48682.0
1/15/21,55761.0
1/16/21,41342.0
1/17/21,38598.0
1/18/21,37535.0
1/19/21,33355.0
1/20/21,38905.0
1/21/21,37892.0
1/22/21,40261.0
1/23/21,33552.0
1/24/21,30004.0
1/25/21,22195.0
1/26/21,20088.0
1/27/21,25308.0
1/28/21,28680.0
1/29/21,29079.0
1/30/21,23275.0
1/31/21,21088.0
2/1/21,18607.0
2/2/21,16840.0
2/3/21,19202.0
2/4/21,20634.0
2/5/21,19114.0
2/6/21,18262.0
2/7/21,15845.0
2/8/21,14104.0
2/9/21,12364.0
2/10/21,13013.0
2/11/21,13494.0
2/12/21,15144.0
2/13/21,13307.0
2/14/21,10972.0
2/15/21,9765.0
2/16/21,10625.0
2/17/21,12717.0
2/18/21,12057.0
2/19/21,12027.0
2/20/21,10406.0
2/21/21,9834.0
2/22/21,10641.0
2/23/21,8489.0
2/24/21,9938.0
2/25/21,9985.0
2/26/21,8523.0
2/27/21,7434.0
2/28/21,6035.0
3/1/21,5455.0
3/2/21,6391.0
3/3/21,6385.0
3/4/21,6573.0
3/5/21,5946.0
3/6/21,6039.0
3/7/21,5177.0
3/8/21,4712.0
3/9/21,5766.0
3/10/21,5926.0
3/11/21,6753.0
3/12/21,6609.0
3/13/21,5534.0
3/14/21,4618.0
3/15/21,5089.0
3/16/21,5294.0
3/17/21,5758.0
3/18/21,6303.0
3/19/21,4802.0
3/20/21,5587.0
3/21/21,5312.0
3/22/21,5342.0
3/23/21,5379.0
3/24/21,5604.0
3/25/21,6220.0
3/26/21,6187.0
3/27/21,3865.0
3/28/21,3862.0
3/29/21,4654.0
3/30/21,4040.0
3/31/21,4052.0
4/1/21,4478.0
4/2/21,3402.0
4/3/21,3423.0
4/4/21,2297.0
4/5/21,2762.0
4/6/21,2379.0
4/7/21,2762.0
4/8/21,3030.0
4/9/21,-4860.0
4/10/21,2584.0
4/11/21,1730.0
4/12/21,3568.0
4/13/21,2471.0
4/14/21,2491.0
4/15/21,2671.0
4/16/21,2756.0
4/17/21,2206.0
4/18/21,1882.0
4/19/21,2963.0
4/20/21,2524.0
4/21/21,2396.0
4/22/21,2728.0
4/23/21,2678.0
4/24/21,2061.0
4/25/21,1712.0
4/26/21,2064.0
4/27/21,2685.0
4/28/21,2166.0
4/29/21,2445.0
4/30/21,2381.0
5/1/21,1907.0
5/2/21,1671.0
5/3/21,1649.0
5/4/21,1946.0
5/5/21,2144.0
5/6/21,2613.0
5/7/21,2490.0
5/8/21,2047.0
5/9/21,1770.0
5/10/21,2357.0
5/11/21,2474.0
5/12/21,2284.0
5/13/21,2656.0
5/14/21,2193.0
5/15/21,2027.0
5/16/21,1926.0
5/17/21,1979.0
5/18/21,-2364.0
5/19/21,2135.0
5/20/21,2694.0
5/21/21,2702.0
5/22/21,2523.0
5/23/21,2092.0
5/24/21,2362.0
5/25/21,2410.0
5/26/21,2987.0
5/27/21,3380.0
5/28/21,4028.0
